nohup: ignoring input
-----------------------------------------------------------------
模式: 并行处理 (Threads=9)
正在加载模型 medium.en ...
模型加载完成。
-----------------------------------------------------------------
File ID                   | ProcTime(s)  | Audio(s)   | RTF     
-----------------------------------------------------------------
正在扫描数据集并填充任务队列...
任务队列填充完成，共 2620 个文件。启动 9 个线程开始并发处理...
-----------------------------------------------------------------
7021-79740-0005           | 1.9420       | 2.11       | 0.9204  
7021-79740-0003           | 4.4012       | 4.99       | 0.8829  
7021-79740-0006           | 5.3644       | 5.96       | 0.8993  
7021-79740-0001           | 6.6895       | 6.00       | 1.1158  
7021-79740-0009           | 4.7803       | 3.63       | 1.3151  
7021-79740-0004           | 7.4612       | 6.46       | 1.1541  
7021-79740-0007           | 7.6779       | 6.99       | 1.0984  
7021-79740-0002           | 9.3108       | 9.22       | 1.0093  
7021-79740-0012           | 2.6627       | 3.26       | 0.8168  
7021-85628-0000           | 2.6093       | 3.02       | 0.8640  
7021-79740-0000           | 10.8664      | 11.12      | 0.9768  
7021-79740-0013           | 6.1418       | 7.37       | 0.8339  
7021-85628-0004           | 2.6262       | 2.81       | 0.9363  
7021-85628-0002           | 5.2050       | 6.46       | 0.8064  
7021-79740-0010           | 11.7259      | 12.03      | 0.9751  
7021-79740-0011           | 10.7919      | 10.31      | 1.0462  
7021-85628-0006           | 4.5256       | 3.58       | 1.2641  
7021-85628-0005           | 5.3725       | 5.01       | 1.0713  
7021-79740-0008           | 19.1987      | 18.41      | 1.0426  
7021-85628-0001           | 10.5728      | 11.33      | 0.9332  
7021-79740-0014           | 13.2423      | 14.18      | 0.9342  
7021-85628-0014           | 1.6974       | 2.29       | 0.7396  
7021-85628-0008           | 7.0621       | 7.12       | 0.9912  
7021-85628-0012           | 4.2777       | 5.33       | 0.8026  
7021-85628-0003           | 14.0357      | 15.29      | 0.9180  
7021-85628-0010           | 6.8794       | 8.02       | 0.8583  
7021-85628-0009           | 8.8133       | 8.54       | 1.0320  
7021-85628-0017           | 1.7331       | 2.15       | 0.8042  
7021-85628-0011           | 7.7705       | 8.99       | 0.8639  
7021-85628-0016           | 3.4633       | 4.28       | 0.8092  
7021-85628-0019           | 2.3918       | 3.25       | 0.7348  
7021-85628-0024           | 2.0180       | 2.17       | 0.9321  
7021-85628-0021           | 4.7865       | 5.37       | 0.8922  
7021-85628-0013           | 10.7966      | 12.13      | 0.8901  
7021-85628-0022           | 4.7666       | 5.14       | 0.9265  
7021-85628-0007           | 17.4139      | 16.68      | 1.0443  
7021-85628-0020           | 7.5580       | 6.45       | 1.1718  
7021-85628-0018           | 8.4729       | 8.22       | 1.0308  
7021-85628-0025           | 3.8231       | 2.77       | 1.3777  
7021-85628-0026           | 4.7793       | 2.74       | 1.7443  
7021-85628-0015           | 13.0030      | 11.54      | 1.1263  
7021-79759-0001           | 3.6578       | 2.48       | 1.4749  
7021-79759-0000           | 5.5796       | 4.78       | 1.1685  
7021-85628-0023           | 10.3260      | 9.03       | 1.1435  
7021-79730-0000           | 1.6486       | 2.44       | 0.6757  
7021-79759-0002           | 5.3273       | 5.25       | 1.0147  
7021-79759-0003           | 5.2523       | 4.62       | 1.1369  
7021-79730-0002           | 2.6322       | 2.69       | 0.9785  
7021-85628-0027           | 9.9062       | 8.50       | 1.1654  
7021-79730-0005           | 8.5625       | 8.01       | 1.0690  
7021-79759-0005           | 12.7306      | 13.02      | 0.9778  
7021-79730-0001           | 12.1362      | 11.49      | 1.0562  
7021-79730-0006           | 11.1457      | 11.34      | 0.9829  
1995-1837-0000            | 3.6848       | 3.87       | 0.9534  
7021-79730-0007           | 12.7691      | 12.46      | 1.0252  
1995-1837-0002            | 2.5937       | 2.79       | 0.9296  
7021-79730-0008           | 11.7486      | 11.77      | 0.9986  
7021-79730-0004           | 16.7902      | 17.95      | 0.9356  
1995-1837-0005            | 2.6049       | 2.63       | 0.9886  
1995-1837-0006            | 2.5800       | 2.96       | 0.8731  
1995-1837-0001            | 7.9400       | 8.73       | 0.9095  
1995-1837-0008            | 1.6688       | 1.96       | 0.8536  
7021-79759-0004           | 23.2893      | 24.47      | 0.9518  
7021-79730-0009           | 12.2090      | 12.59      | 0.9701  
1995-1837-0004            | 7.0678       | 6.36       | 1.1113  
1995-1837-0003            | 7.9127       | 7.36       | 1.0751  
1995-1837-0009            | 4.4791       | 3.76       | 1.1912  
1995-1837-0010            | 4.5581       | 3.48       | 1.3098  
1995-1837-0011            | 5.6762       | 3.38       | 1.6819  
1995-1837-0013            | 3.7399       | 3.19       | 1.1706  
1995-1837-0007            | 11.0729      | 8.80       | 1.2583  
1995-1837-0017            | 4.8286       | 3.10       | 1.5576  
1995-1837-0015            | 6.5940       | 4.49       | 1.4702  
1995-1837-0012            | 10.2314      | 8.24       | 1.2409  
1995-1837-0021            | 2.5802       | 3.09       | 0.8350  
1995-1837-0016            | 8.3176       | 7.19       | 1.1568  
1995-1837-0020            | 3.4237       | 3.21       | 1.0666  
1995-1837-0019            | 6.2702       | 5.38       | 1.1655  
1995-1837-0022            | 3.4411       | 3.42       | 1.0076  
7021-79730-0003           | 33.3812      | 32.88      | 1.0152  
1995-1837-0028            | 2.6545       | 2.34       | 1.1344  
1995-1837-0014            | 13.5330      | 12.46      | 1.0861  
1995-1837-0024            | 5.3134       | 5.38       | 0.9867  
1995-1837-0018            | 12.4516      | 12.82      | 0.9709  
1995-1837-0027            | 6.1543       | 6.71       | 0.9179  
1995-1837-0026            | 7.0030       | 8.10       | 0.8651  
1995-1836-0002            | 2.6330       | 2.31       | 1.1374  
1995-1837-0029            | 5.3375       | 5.58       | 0.9565  
1995-1837-0025            | 8.8087       | 9.51       | 0.9267  
1995-1836-0001            | 5.3652       | 6.00       | 0.8942  
1995-1836-0007            | 3.4895       | 3.44       | 1.0159  
1995-1836-0000            | 7.9410       | 8.96       | 0.8868  
1995-1836-0003            | 6.9904       | 7.96       | 0.8776  
1995-1837-0023            | 15.9251      | 16.96      | 0.9387  
1995-1836-0006            | 7.9252       | 7.71       | 1.0273  
1995-1836-0008            | 7.0680       | 6.99       | 1.0119  
1995-1836-0009            | 7.0348       | 6.71       | 1.0484  
1995-1836-0011            | 5.3074       | 4.71       | 1.1280  
1995-1836-0012            | 4.5089       | 3.69       | 1.2203  
1995-1836-0005            | 10.6467      | 10.90      | 0.9768  
1995-1836-0013            | 5.1951       | 5.30       | 0.9802  
1995-1826-0003            | 2.5766       | 3.09       | 0.8338  
1995-1826-0004            | 2.5715       | 3.04       | 0.8473  
1995-1826-0002            | 4.3137       | 4.61       | 0.9368  
1995-1826-0006            | 2.5691       | 2.46       | 1.0465  
1995-1836-0014            | 7.7763       | 9.04       | 0.8597  
1995-1826-0000            | 7.7622       | 9.48       | 0.8184  
1995-1826-0008            | 2.5784       | 2.90       | 0.8906  
1995-1826-0005            | 4.2323       | 5.12       | 0.8258  
1995-1826-0010            | 1.7129       | 2.44       | 0.7006  
1995-1826-0001            | 9.7187       | 10.17      | 0.9556  
1995-1826-0007            | 7.1335       | 7.06       | 1.0104  
1995-1826-0014            | 3.7623       | 2.50       | 1.5049  
1995-1826-0015            | 3.2928       | 3.55       | 0.9276  
1995-1826-0012            | 6.3501       | 6.18       | 1.0275  
1995-1826-0009            | 8.0610       | 7.57       | 1.0649  
1995-1826-0011            | 8.9184       | 8.94       | 0.9976  
