nohup: ignoring input
-----------------------------------------------------------------
模式: 并行处理 (Threads=5)
正在加载模型 medium.en ...
模型加载完成。
-----------------------------------------------------------------
File ID                   | ProcTime(s)  | Audio(s)   | RTF     
-----------------------------------------------------------------
正在扫描数据集并填充任务队列...
任务队列填充完成，共 2620 个文件。启动 5 个线程开始并发处理...
-----------------------------------------------------------------
7021-79740-0003           | 2.6813       | 4.99       | 0.5379  
7021-79740-0001           | 4.2499       | 6.00       | 0.7089  
7021-79740-0005           | 2.1597       | 2.11       | 1.0235  
7021-79740-0004           | 4.8757       | 6.46       | 0.7542  
7021-79740-0002           | 5.7144       | 9.22       | 0.6195  
7021-79740-0000           | 6.8561       | 11.12      | 0.6163  
7021-79740-0006           | 2.9773       | 5.96       | 0.4991  
7021-79740-0009           | 1.9500       | 3.63       | 0.5365  
7021-79740-0007           | 3.4391       | 6.99       | 0.4920  
7021-79740-0012           | 1.5549       | 3.26       | 0.4770  
7021-79740-0013           | 3.6026       | 7.37       | 0.4891  
7021-79740-0011           | 5.5776       | 10.31      | 0.5407  
7021-79740-0010           | 6.0901       | 12.03      | 0.5065  
7021-85628-0000           | 1.4898       | 3.02       | 0.4933  
7021-79740-0008           | 9.5272       | 18.41      | 0.5174  
7021-85628-0004           | 1.4807       | 2.81       | 0.5279  
7021-85628-0002           | 2.9975       | 6.46       | 0.4644  
7021-79740-0014           | 7.0544       | 14.18      | 0.4977  
7021-85628-0006           | 3.1824       | 3.58       | 0.8889  
7021-85628-0001           | 6.6881       | 11.33      | 0.5903  
7021-85628-0005           | 3.6504       | 5.01       | 0.7279  
7021-85628-0003           | 8.5696       | 15.29      | 0.5605  
7021-85628-0008           | 3.3629       | 7.12       | 0.4720  
7021-85628-0010           | 3.8832       | 8.02       | 0.4845  
7021-85628-0009           | 4.3547       | 8.54       | 0.5099  
7021-85628-0014           | 0.9937       | 2.29       | 0.4330  
7021-85628-0012           | 2.4809       | 5.33       | 0.4655  
7021-85628-0007           | 9.4847       | 16.68      | 0.5688  
7021-85628-0011           | 4.4205       | 8.99       | 0.4914  
7021-85628-0017           | 1.0078       | 2.15       | 0.4677  
7021-85628-0016           | 1.9700       | 4.28       | 0.4603  
7021-85628-0019           | 1.4889       | 3.25       | 0.4574  
7021-85628-0013           | 6.4563       | 12.13      | 0.5323  
7021-85628-0018           | 5.6187       | 8.22       | 0.6835  
7021-85628-0020           | 5.1138       | 6.45       | 0.7928  
7021-85628-0021           | 4.1320       | 5.37       | 0.7702  
7021-85628-0015           | 7.5780       | 11.54      | 0.6564  
7021-85628-0024           | 0.9635       | 2.17       | 0.4450  
7021-85628-0022           | 3.5729       | 5.14       | 0.6944  
7021-85628-0025           | 1.4884       | 2.77       | 0.5364  
7021-85628-0026           | 1.4882       | 2.74       | 0.5431  
7021-79759-0001           | 2.5680       | 2.48       | 1.0355  
7021-79759-0000           | 3.0892       | 4.78       | 0.6469  
7021-79759-0002           | 3.5299       | 5.25       | 0.6724  
7021-85628-0023           | 5.4875       | 9.03       | 0.6077  
7021-79730-0000           | 0.9497       | 2.44       | 0.3892  
7021-85628-0027           | 5.4642       | 8.50       | 0.6428  
7021-79759-0003           | 2.3504       | 4.62       | 0.5088  
7021-79730-0002           | 1.5824       | 2.69       | 0.5882  
7021-79759-0005           | 8.0621       | 13.02      | 0.6192  
7021-79730-0001           | 7.5894       | 11.49      | 0.6605  
7021-79730-0005           | 3.8396       | 8.01       | 0.4794  
7021-79759-0004           | 13.3690      | 24.47      | 0.5463  
7021-79730-0004           | 10.3887      | 17.95      | 0.5789  
7021-79730-0006           | 5.3507       | 11.34      | 0.4718  
1995-1837-0000            | 1.9727       | 3.87       | 0.5104  
7021-79730-0007           | 6.4307       | 12.46      | 0.5163  
7021-79730-0008           | 5.9246       | 11.77      | 0.5036  
7021-79730-0003           | 17.9008      | 32.88      | 0.5444  
7021-79730-0009           | 6.3978       | 12.59      | 0.5084  
1995-1837-0002            | 1.4531       | 2.79       | 0.5208  
1995-1837-0001            | 4.4279       | 8.73       | 0.5072  
1995-1837-0005            | 1.4889       | 2.63       | 0.5650  
1995-1837-0006            | 1.4809       | 2.96       | 0.5012  
1995-1837-0008            | 0.9830       | 1.96       | 0.5028  
1995-1837-0003            | 3.9169       | 7.36       | 0.5322  
1995-1837-0004            | 3.4300       | 6.36       | 0.5393  
1995-1837-0009            | 3.0686       | 3.76       | 0.8161  
1995-1837-0010            | 3.1243       | 3.48       | 0.8978  
1995-1837-0011            | 4.2611       | 3.38       | 1.2625  
1995-1837-0013            | 2.6894       | 3.19       | 0.8418  
1995-1837-0007            | 6.7406       | 8.80       | 0.7660  
1995-1837-0017            | 2.6031       | 3.10       | 0.8397  
1995-1837-0012            | 7.3947       | 8.24       | 0.8969  
1995-1837-0015            | 3.6140       | 4.49       | 0.8058  
1995-1837-0016            | 4.5623       | 7.19       | 0.6345  
1995-1837-0020            | 1.9603       | 3.21       | 0.6107  
1995-1837-0019            | 2.9389       | 5.38       | 0.5463  
1995-1837-0021            | 1.4711       | 3.09       | 0.4761  
1995-1837-0014            | 8.6751       | 12.46      | 0.6962  
1995-1837-0022            | 1.9479       | 3.42       | 0.5704  
1995-1837-0024            | 3.0369       | 5.38       | 0.5640  
1995-1837-0018            | 6.4625       | 12.82      | 0.5039  
1995-1837-0028            | 1.4964       | 2.34       | 0.6395  
1995-1837-0026            | 4.0503       | 8.10       | 0.5004  
1995-1837-0025            | 5.0030       | 9.51       | 0.5264  
1995-1837-0027            | 3.4053       | 6.71       | 0.5079  
1995-1837-0029            | 2.8555       | 5.58       | 0.5117  
1995-1836-0002            | 1.5255       | 2.31       | 0.6590  
1995-1837-0023            | 8.4824       | 16.96      | 0.5000  
1995-1836-0001            | 2.9821       | 6.00       | 0.4970  
1995-1836-0000            | 4.4724       | 8.96       | 0.4994  
1995-1836-0003            | 4.0667       | 7.96       | 0.5106  
1995-1836-0007            | 1.9395       | 3.44       | 0.5646  
1995-1836-0006            | 3.9265       | 7.71       | 0.5089  
1995-1836-0005            | 5.3988       | 10.90      | 0.4953  
1995-1836-0008            | 4.4927       | 6.99       | 0.6432  
1995-1836-0009            | 4.4927       | 6.71       | 0.6696  
1995-1836-0011            | 3.4668       | 4.71       | 0.7368  
1995-1836-0012            | 1.8985       | 3.69       | 0.5138  
1995-1836-0013            | 4.0119       | 5.30       | 0.7570  
1995-1836-0014            | 5.5239       | 9.04       | 0.6107  
1995-1826-0000            | 5.4846       | 9.48       | 0.5782  
1995-1826-0003            | 1.4908       | 3.09       | 0.4825  
1995-1826-0001            | 4.8718       | 10.17      | 0.4790  
1995-1826-0002            | 2.4162       | 4.61       | 0.5247  
1995-1826-0004            | 1.4490       | 3.04       | 0.4774  
1995-1826-0006            | 1.4368       | 2.46       | 0.5852  
1995-1836-0004            | 18.7495      | 33.91      | 0.5529  
1995-1836-0010            | 14.2808      | 24.45      | 0.5841  
1995-1826-0005            | 2.3576       | 5.12       | 0.4600  
1995-1826-0010            | 0.9557       | 2.44       | 0.3909  
1995-1826-0008            | 1.4035       | 2.90       | 0.4848  
1995-1826-0007            | 3.3683       | 7.06       | 0.4771  
1995-1826-0009            | 3.8921       | 7.57       | 0.5141  
1995-1826-0012            | 2.9467       | 6.18       | 0.4768  
1995-1826-0014            | 1.4733       | 2.50       | 0.5893  
