nohup: ignoring input
--------------------------------------------------
正在加载模型 medium.en (RTF 专项测试)...
模型加载完成。
--------------------------------------------------
File ID                   | ProcTime(s)  | Audio(s)   | RTF     
-----------------------------------------------------------------
7021-79740-0000           | 1.4252       | 11.12      | 0.1281  
7021-79740-0001           | 1.6668       | 6.00       | 0.2780  
7021-79740-0002           | 0.9128       | 9.22       | 0.0989  
7021-79740-0003           | 0.5363       | 4.99       | 0.1076  
7021-79740-0004           | 0.8304       | 6.46       | 0.1284  
7021-79740-0005           | 0.2181       | 2.11       | 0.1034  
7021-79740-0006           | 0.6312       | 5.96       | 0.1058  
7021-79740-0007           | 0.7438       | 6.99       | 0.1064  
7021-79740-0008           | 2.0443       | 18.41      | 0.1110  
7021-79740-0009           | 0.4171       | 3.63       | 0.1147  
7021-79740-0010           | 1.2882       | 12.03      | 0.1071  
7021-79740-0011           | 1.1785       | 10.31      | 0.1143  
7021-79740-0012           | 0.3166       | 3.26       | 0.0971  
7021-79740-0013           | 0.7381       | 7.37       | 0.1002  
7021-79740-0014           | 1.4410       | 14.18      | 0.1017  
7021-85628-0000           | 0.3179       | 3.02       | 0.1053  
7021-85628-0001           | 1.1154       | 11.33      | 0.0984  
7021-85628-0002           | 0.6282       | 6.46       | 0.0973  
7021-85628-0003           | 1.5272       | 15.29      | 0.0999  
7021-85628-0004           | 0.2969       | 2.81       | 0.1059  
7021-85628-0005           | 1.6065       | 5.01       | 0.3203  
7021-85628-0006           | 0.4030       | 3.58       | 0.1126  
7021-85628-0007           | 1.7975       | 16.68      | 0.1078  
7021-85628-0008           | 0.7206       | 7.12       | 0.1011  
7021-85628-0009           | 0.9192       | 8.54       | 0.1076  
7021-85628-0010           | 0.8304       | 8.02       | 0.1036  
7021-85628-0011           | 0.9608       | 8.99       | 0.1068  
7021-85628-0012           | 0.5864       | 5.33       | 0.1100  
7021-85628-0013           | 1.3473       | 12.13      | 0.1111  
7021-85628-0014           | 0.1973       | 2.29       | 0.0860  
7021-85628-0015           | 1.2069       | 11.54      | 0.1045  
7021-85628-0016           | 0.4217       | 4.28       | 0.0985  
7021-85628-0017           | 0.2112       | 2.15       | 0.0980  
7021-85628-0018           | 1.9373       | 8.22       | 0.2357  
7021-85628-0019           | 0.3117       | 3.25       | 0.0957  
7021-85628-0020           | 1.0585       | 6.45       | 0.1641  
7021-85628-0021           | 0.5413       | 5.37       | 0.1009  
7021-85628-0022           | 0.5300       | 5.14       | 0.1030  
7021-85628-0023           | 1.9830       | 9.03       | 0.2196  
7021-85628-0024           | 0.1967       | 2.17       | 0.0908  
7021-85628-0025           | 0.2887       | 2.77       | 0.1040  
7021-85628-0026           | 0.3139       | 2.74       | 0.1146  
7021-85628-0027           | 0.9873       | 8.50       | 0.1161  
7021-79759-0000           | 0.4121       | 4.78       | 0.0863  
7021-79759-0001           | 0.2944       | 2.48       | 0.1187  
7021-79759-0002           | 0.5342       | 5.25       | 0.1018  
7021-79759-0003           | 0.5380       | 4.62       | 0.1165  
7021-79759-0004           | 2.9482       | 24.47      | 0.1205  
7021-79759-0005           | 2.3959       | 13.02      | 0.1840  
7021-79730-0000           | 0.2060       | 2.44       | 0.0844  
7021-79730-0001           | 1.2507       | 11.49      | 0.1088  
7021-79730-0002           | 0.4333       | 2.69       | 0.1611  
7021-79730-0003           | 3.3749       | 32.88      | 0.1026  
7021-79730-0004           | 1.8802       | 17.95      | 0.1048  
7021-79730-0005           | 0.8487       | 8.01       | 0.1060  
7021-79730-0006           | 1.1274       | 11.34      | 0.0994  
7021-79730-0007           | 1.3934       | 12.46      | 0.1119  
7021-79730-0008           | 1.2245       | 11.77      | 0.1041  
7021-79730-0009           | 1.3131       | 12.59      | 0.1043  
1995-1837-0000            | 0.4158       | 3.87       | 0.1076  
1995-1837-0001            | 0.9721       | 8.73       | 0.1114  
1995-1837-0002            | 0.3019       | 2.79       | 0.1082  
1995-1837-0003            | 0.8435       | 7.36       | 0.1146  
1995-1837-0004            | 0.7046       | 6.36       | 0.1108  
1995-1837-0005            | 0.3150       | 2.63       | 0.1195  
1995-1837-0006            | 0.3212       | 2.96       | 0.1087  
1995-1837-0007            | 2.0200       | 8.80       | 0.2295  
1995-1837-0008            | 0.2125       | 1.96       | 0.1087  
1995-1837-0009            | 1.5085       | 3.76       | 0.4012  
1995-1837-0010            | 0.4957       | 3.48       | 0.1424  
1995-1837-0011            | 0.4125       | 3.38       | 0.1222  
1995-1837-0012            | 0.8414       | 8.24       | 0.1020  
1995-1837-0013            | 0.3119       | 3.19       | 0.0976  
1995-1837-0014            | 2.4572       | 12.46      | 0.1972  
1995-1837-0015            | 0.5184       | 4.49       | 0.1156  
1995-1837-0016            | 0.7591       | 7.19       | 0.1056  
1995-1837-0017            | 0.3078       | 3.10       | 0.0993  
1995-1837-0018            | 1.3789       | 12.82      | 0.1075  
1995-1837-0019            | 0.5927       | 5.38       | 0.1102  
1995-1837-0020            | 0.4042       | 3.21       | 0.1259  
1995-1837-0021            | 0.3176       | 3.09       | 0.1028  
1995-1837-0022            | 0.4040       | 3.42       | 0.1183  
1995-1837-0023            | 1.7303       | 16.96      | 0.1020  
1995-1837-0024            | 0.7308       | 5.38       | 0.1357  
1995-1837-0025            | 1.0729       | 9.51       | 0.1129  
1995-1837-0026            | 0.8213       | 8.10       | 0.1015  
1995-1837-0027            | 0.7079       | 6.71       | 0.1056  
1995-1837-0028            | 0.3151       | 2.34       | 0.1347  
1995-1837-0029            | 0.6023       | 5.58       | 0.1079  
1995-1836-0000            | 0.9040       | 8.96       | 0.1010  
1995-1836-0001            | 0.6595       | 6.00       | 0.1099  
1995-1836-0002            | 0.3881       | 2.31       | 0.1676  
1995-1836-0003            | 0.8586       | 7.96       | 0.1078  
1995-1836-0004            | 4.7074       | 33.91      | 0.1388  
1995-1836-0005            | 1.1658       | 10.90      | 0.1070  
