nohup: ignoring input
------------------------------------------------------------
任务: 并发计算 TTFT (首字延迟)
并发数: 6 | 模型: medium.en | Device: cuda
计算公式: TTFT = 音频缓冲时长(1s步进) + 累积推理耗时
模型加载完成。
共加载 2620 个任务。开始并行处理...
------------------------------------------------------------
Filename                       | TTFT(s)  | Status    
------------------------------------------------------------
7021-79740-0014.wav            | 1.9709   | OK        
7021-79740-0009.wav            | 1.9761   | OK        
7021-79740-0004.wav            | 1.9936   | OK        
7021-79740-0006.wav            | 1.9857   | OK        
7021-79740-0000.wav            | 1.9974   | OK        
7021-79740-0007.wav            | 3.5770   | OK        
7021-79740-0008.wav            | 1.6341   | OK        
7021-79740-0013.wav            | 1.6342   | OK        
7021-79740-0011.wav            | 1.6337   | OK        
7021-79740-0012.wav            | 1.6336   | OK        
7021-79740-0005.wav            | 1.6337   | OK        
7021-79740-0010.wav            | 1.6089   | OK        
7021-79740-0003.wav            | 1.6089   | OK        
7021-85628-0006.wav            | 1.6087   | OK        
7021-79740-0001.wav            | 3.2939   | OK        
7021-85628-0019.wav            | 1.6851   | OK        
7021-85628-0003.wav            | 3.4209   | OK        
7021-85628-0001.wav            | 1.8116   | OK        
7021-79740-0002.wav            | 3.6268   | OK        
7021-85628-0000.wav            | 1.7311   | OK        
7021-85628-0015.wav            | 3.4171   | OK        
7021-85628-0013.wav            | 1.7318   | OK        
7021-85628-0026.wav            | 1.6256   | OK        
7021-85628-0008.wav            | 1.6252   | OK        
7021-85628-0002.wav            | 1.6208   | OK        
7021-85628-0017.wav            | 1.6209   | OK        
7021-85628-0024.wav            | 1.6199   | OK        
7021-85628-0022.wav            | 1.6287   | OK        
7021-85628-0005.wav            | 1.6292   | OK        
7021-85628-0009.wav            | 1.6280   | OK        
7021-85628-0016.wav            | 3.2996   | OK        
7021-85628-0007.wav            | 2.2408   | OK        
7021-85628-0011.wav            | 2.2407   | OK        
7021-85628-0021.wav            | 3.4890   | OK        
7021-85628-0004.wav            | 6.0982   | OK        
7021-85628-0010.wav            | 4.4185   | OK        
7021-85628-0020.wav            | 3.9906   | OK        
7021-85628-0014.wav            | 3.9905   | OK        
7021-85628-0027.wav            | 5.4188   | OK        
7021-85628-0018.wav            | 2.6998   | OK        
7021-85628-0012.wav            | 1.7471   | OK        
7021-85628-0023.wav            | 1.7475   | OK        
7021-85628-0025.wav            | 1.6626   | OK        
7021-79759-0001.wav            | 1.6668   | OK        
7021-79759-0002.wav            | 1.6625   | OK        
7021-79759-0004.wav            | 1.6626   | OK        
7021-79759-0005.wav            | 1.6204   | OK        
7021-79730-0006.wav            | 1.6162   | OK        
7021-79730-0004.wav            | 1.6190   | OK        
7021-79730-0005.wav            | 1.6192   | OK        
7021-79759-0000.wav            | 3.2804   | OK        
7021-79759-0003.wav            | 3.2805   | OK        
7021-79730-0007.wav            | 1.5999   | OK        
7021-79730-0002.wav            | 1.6356   | OK        
7021-79730-0003.wav            | 1.6352   | OK        
7021-79730-0001.wav            | 1.6903   | OK        
7021-79730-0000.wav            | 1.6410   | OK        
7021-79730-0009.wav            | 1.6407   | OK        
7021-79730-0008.wav            | 1.6407   | OK        
1995-1837-0009.wav             | 1.6508   | OK        
1995-1837-0019.wav             | 1.6508   | OK        
1995-1837-0023.wav             | 1.6520   | OK        
1995-1837-0022.wav             | 1.6576   | OK        
1995-1837-0010.wav             | 1.6579   | OK        
1995-1837-0027.wav             | 1.6581   | OK        
1995-1837-0006.wav             | 1.6620   | OK        
1995-1837-0011.wav             | 1.6624   | OK        
1995-1837-0025.wav             | 1.6621   | OK        
1995-1837-0003.wav             | 1.6560   | OK        
1995-1837-0028.wav             | 1.6565   | OK        
1995-1837-0013.wav             | 1.6665   | OK        
1995-1837-0015.wav             | 1.6589   | OK        
1995-1837-0002.wav             | 1.6592   | OK        
1995-1837-0007.wav             | 1.6589   | OK        
1995-1837-0016.wav             | 1.6824   | OK        
1995-1837-0001.wav             | 1.6825   | OK        
1995-1837-0024.wav             | 1.6771   | OK        
1995-1837-0004.wav             | 1.6805   | OK        
1995-1837-0005.wav             | 1.6801   | OK        
1995-1837-0026.wav             | 1.6247   | OK        
1995-1837-0029.wav             | 1.6903   | OK        
1995-1837-0000.wav             | 1.6901   | OK        
1995-1837-0017.wav             | 1.8090   | OK        
1995-1837-0020.wav             | 1.8094   | OK        
1995-1837-0018.wav             | 2.0005   | OK        
1995-1837-0008.wav             | 1.8211   | OK        
1995-1837-0014.wav             | 1.7616   | OK        
1995-1837-0012.wav             | 1.7617   | OK        
1995-1837-0021.wav             | 1.6719   | OK        
1995-1836-0002.wav             | 1.6719   | OK        
1995-1836-0008.wav             | 1.6718   | OK        
1995-1836-0006.wav             | 1.6719   | OK        
1995-1836-0009.wav             | 1.6526   | OK        
1995-1836-0005.wav             | 1.6525   | OK        
1995-1836-0011.wav             | 1.6418   | OK        
1995-1836-0003.wav             | 1.6408   | OK        
1995-1836-0010.wav             | 1.6407   | OK        
1995-1836-0013.wav             | 1.6403   | OK        
1995-1836-0004.wav             | 1.6328   | OK        
1995-1836-0007.wav             | 1.6199   | OK        
1995-1836-0000.wav             | 1.6198   | OK        
1995-1836-0001.wav             | 1.6215   | OK        
1995-1836-0012.wav             | 3.2571   | OK        
1995-1826-0009.wav             | 1.6236   | OK        
1995-1826-0003.wav             | 1.6462   | OK        
1995-1826-0022.wav             | 1.6467   | OK        
1995-1836-0014.wav             | 3.2681   | OK        
1995-1826-0005.wav             | 1.6463   | OK        
1995-1826-0010.wav             | 1.6495   | OK        
1995-1826-0023.wav             | 1.6499   | OK        
1995-1826-0001.wav             | 1.6450   | OK        
1995-1826-0013.wav             | 1.6449   | OK        
1995-1826-0007.wav             | 1.6432   | OK        
1995-1826-0004.wav             | 1.6432   | OK        
1995-1826-0000.wav             | 1.6835   | OK        
1995-1826-0016.wav             | 1.6841   | OK        
1995-1826-0012.wav             | 1.6719   | OK        
1995-1826-0008.wav             | 1.6729   | OK        
1995-1826-0021.wav             | 1.6504   | OK        
1995-1826-0026.wav             | 1.6496   | OK        
1995-1826-0020.wav             | 1.6834   | OK        
1995-1826-0014.wav             | 3.3565   | OK        
1995-1826-0017.wav             | 1.6844   | OK        
1995-1826-0025.wav             | 3.6300   | OK        
1995-1826-0018.wav             | 1.7015   | OK        
1995-1826-0011.wav             | 1.7887   | OK        
1995-1826-0006.wav             | 2.1097   | OK        
1995-1826-0002.wav             | 2.1090   | OK        
1995-1826-0019.wav             | 2.2092   | OK        
1995-1826-0024.wav             | 2.1434   | OK        
3570-5696-0003.wav             | 2.5429   | OK        
1995-1826-0015.wav             | 3.5574   | OK        
3570-5696-0004.wav             | 2.1767   | OK        
3570-5696-0006.wav             | 2.2178   | OK        
3570-5696-0000.wav             | 2.0468   | OK        
3570-5696-0002.wav             | 2.1111   | OK        
3570-5696-0008.wav             | 1.6434   | OK        
3570-5696-0001.wav             | 1.6429   | OK        
3570-5696-0009.wav             | 1.6433   | OK        
3570-5696-0007.wav             | 1.6562   | OK        
3570-5696-0005.wav             | 1.6732   | OK        
3570-5696-0010.wav             | 1.6760   | OK        
3570-5694-0003.wav             | 1.6785   | OK        
3570-5694-0012.wav             | 1.6798   | OK        
3570-5694-0013.wav             | 1.6667   | OK        
3570-5694-0019.wav             | 1.6503   | OK        
3570-5694-0010.wav             | 1.6429   | OK        
3570-5694-0005.wav             | 1.6533   | OK        
3570-5694-0020.wav             | 3.3336   | OK        
3570-5694-0011.wav             | 1.6443   | OK        
3570-5694-0000.wav             | 1.6479   | OK        
3570-5694-0016.wav             | 1.6388   | OK        
3570-5694-0018.wav             | 1.6589   | OK        
3570-5694-0006.wav             | 3.3135   | OK        
3570-5694-0017.wav             | 1.7480   | OK        
3570-5694-0007.wav             | 1.8013   | OK        
3570-5694-0022.wav             | 3.4934   | OK        
3570-5694-0009.wav             | 1.8337   | OK        
3570-5694-0001.wav             | 2.5474   | OK        
3570-5694-0015.wav             | 1.9263   | OK        
3570-5694-0004.wav             | 2.1829   | OK        
3570-5694-0021.wav             | 3.7896   | OK        
3570-5694-0002.wav             | 1.9542   | OK        
3570-5694-0008.wav             | 1.9255   | OK        
3570-5694-0014.wav             | 2.1136   | OK        
3570-5695-0008.wav             | 1.7518   | OK        
3570-5695-0010.wav             | 1.7940   | OK        
3570-5695-0011.wav             | 1.7086   | OK        
3570-5695-0012.wav             | 2.8103   | OK        
3570-5695-0015.wav             | 2.8105   | OK        
3570-5695-0002.wav             | 3.3894   | OK        
3570-5695-0007.wav             | 2.8644   | OK        
3570-5695-0009.wav             | 2.8506   | OK        
3570-5695-0001.wav             | 1.7939   | OK        
3570-5695-0014.wav             | 1.7938   | OK        
3570-5695-0013.wav             | 4.6098   | OK        
3570-5695-0000.wav             | 1.6614   | OK        
3570-5695-0005.wav             | 1.6617   | OK        
3570-5695-0004.wav             | 1.6569   | OK        
3570-5695-0006.wav             | 1.6552   | OK        
3570-5695-0003.wav             | 1.6551   | OK        
5639-40744-0009.wav            | 1.6375   | OK        
5639-40744-0005.wav            | 1.6322   | OK        
5639-40744-0017.wav            | 1.6317   | OK        
5639-40744-0034.wav            | 1.6340   | OK        
5639-40744-0028.wav            | 1.6345   | OK        
5639-40744-0018.wav            | 1.6345   | OK        
5639-40744-0021.wav            | 1.6176   | OK        
5639-40744-0000.wav            | 1.6081   | OK        
5639-40744-0004.wav            | 3.0293   | OK        
5639-40744-0033.wav            | 5.2158   | OK        
5639-40744-0001.wav            | 6.3564   | OK        
5639-40744-0002.wav            | 3.9077   | OK        
5639-40744-0016.wav            | 6.1661   | OK        
5639-40744-0007.wav            | 6.9415   | OK        
5639-40744-0036.wav            | 3.3492   | OK        
5639-40744-0020.wav            | 6.9581   | OK        
5639-40744-0003.wav            | 2.2184   | OK        
5639-40744-0032.wav            | 1.6203   | OK        
5639-40744-0040.wav            | 1.6183   | OK        
5639-40744-0024.wav            | 1.6077   | OK        
5639-40744-0015.wav            | 1.6199   | OK        
