nohup: ignoring input
------------------------------------------------------------
任务: 并发计算 TTFT (首字延迟)
并发数: 1 | 模型: medium.en | Device: cuda
计算公式: TTFT = 音频缓冲时长(1s步进) + 累积推理耗时
模型加载完成。
共加载 2620 个任务。开始并行处理...
------------------------------------------------------------
Filename                       | TTFT(s)  | Status    
------------------------------------------------------------
7021-79740-0014.wav            | 1.4271   | OK        
7021-79740-0004.wav            | 1.1170   | OK        
7021-79740-0009.wav            | 1.1157   | OK        
7021-79740-0000.wav            | 1.1171   | OK        
7021-79740-0007.wav            | 2.2398   | OK        
7021-79740-0006.wav            | 1.1173   | OK        
7021-79740-0008.wav            | 1.1119   | OK        
7021-79740-0013.wav            | 1.1176   | OK        
7021-79740-0011.wav            | 1.1067   | OK        
7021-79740-0012.wav            | 1.1115   | OK        
7021-79740-0005.wav            | 1.1158   | OK        
7021-79740-0001.wav            | 2.2306   | OK        
7021-79740-0010.wav            | 1.1203   | OK        
7021-79740-0003.wav            | 1.1209   | OK        
7021-79740-0002.wav            | 3.0917   | OK        
7021-85628-0003.wav            | 2.2280   | OK        
7021-85628-0006.wav            | 1.1131   | OK        
7021-85628-0015.wav            | 2.2379   | OK        
7021-85628-0019.wav            | 1.1165   | OK        
7021-85628-0001.wav            | 1.1224   | OK        
7021-85628-0000.wav            | 1.1070   | OK        
7021-85628-0013.wav            | 1.1132   | OK        
7021-85628-0026.wav            | 1.1190   | OK        
7021-85628-0008.wav            | 1.1145   | OK        
7021-85628-0002.wav            | 1.1191   | OK        
7021-85628-0017.wav            | 1.1196   | OK        
7021-85628-0016.wav            | 2.2371   | OK        
7021-85628-0024.wav            | 1.1072   | OK        
7021-85628-0022.wav            | 1.1246   | OK        
7021-85628-0005.wav            | 1.1228   | OK        
7021-85628-0009.wav            | 1.1190   | OK        
7021-85628-0004.wav            | 2.2560   | OK        
7021-85628-0027.wav            | 1.3536   | OK        
7021-85628-0007.wav            | 1.1115   | OK        
7021-85628-0011.wav            | 1.1135   | OK        
7021-85628-0021.wav            | 1.1132   | OK        
7021-85628-0010.wav            | 1.1131   | OK        
7021-85628-0020.wav            | 1.1181   | OK        
7021-85628-0014.wav            | 1.1090   | OK        
7021-85628-0018.wav            | 1.1194   | OK        
7021-85628-0012.wav            | 1.1203   | OK        
7021-85628-0023.wav            | 1.1160   | OK        
7021-85628-0025.wav            | 1.1116   | OK        
7021-79759-0001.wav            | 1.1110   | OK        
7021-79759-0002.wav            | 1.1164   | OK        
7021-79759-0004.wav            | 1.1107   | OK        
7021-79759-0000.wav            | 2.2337   | OK        
7021-79759-0003.wav            | 2.2410   | OK        
7021-79759-0005.wav            | 1.1065   | OK        
7021-79730-0006.wav            | 1.1062   | OK        
7021-79730-0004.wav            | 1.1123   | OK        
7021-79730-0005.wav            | 1.1166   | OK        
7021-79730-0007.wav            | 1.1169   | OK        
7021-79730-0002.wav            | 1.1114   | OK        
7021-79730-0003.wav            | 1.1224   | OK        
7021-79730-0001.wav            | 1.1131   | OK        
7021-79730-0000.wav            | 1.1186   | OK        
7021-79730-0009.wav            | 1.1128   | OK        
7021-79730-0008.wav            | 1.1174   | OK        
1995-1837-0009.wav             | 1.1316   | OK        
1995-1837-0019.wav             | 1.1169   | OK        
1995-1837-0023.wav             | 1.1208   | OK        
1995-1837-0022.wav             | 1.1158   | OK        
1995-1837-0010.wav             | 1.1183   | OK        
1995-1837-0027.wav             | 1.1214   | OK        
1995-1837-0006.wav             | 1.1241   | OK        
1995-1837-0011.wav             | 1.1166   | OK        
1995-1837-0025.wav             | 1.1265   | OK        
1995-1837-0003.wav             | 1.1166   | OK        
1995-1837-0028.wav             | 1.1250   | OK        
1995-1837-0013.wav             | 1.1128   | OK        
1995-1837-0015.wav             | 1.1235   | OK        
1995-1837-0002.wav             | 1.1234   | OK        
1995-1837-0007.wav             | 1.1165   | OK        
1995-1837-0016.wav             | 1.1209   | OK        
1995-1837-0001.wav             | 1.1258   | OK        
1995-1837-0024.wav             | 1.1205   | OK        
1995-1837-0004.wav             | 1.1253   | OK        
1995-1837-0005.wav             | 1.1210   | OK        
1995-1837-0026.wav             | 1.1208   | OK        
1995-1837-0029.wav             | 1.1220   | OK        
1995-1837-0000.wav             | 1.1225   | OK        
1995-1837-0018.wav             | 1.2373   | OK        
1995-1837-0017.wav             | 1.1158   | OK        
1995-1837-0020.wav             | 1.1108   | OK        
1995-1837-0008.wav             | 1.1200   | OK        
1995-1837-0014.wav             | 1.1201   | OK        
1995-1837-0012.wav             | 1.1252   | OK        
1995-1837-0021.wav             | 1.1205   | OK        
1995-1836-0002.wav             | 1.1229   | OK        
1995-1836-0008.wav             | 1.1166   | OK        
1995-1836-0006.wav             | 1.1209   | OK        
1995-1836-0009.wav             | 1.1305   | OK        
1995-1836-0005.wav             | 1.1182   | OK        
1995-1836-0011.wav             | 1.1163   | OK        
1995-1836-0003.wav             | 1.1282   | OK        
1995-1836-0010.wav             | 1.1157   | OK        
1995-1836-0013.wav             | 1.1063   | OK        
1995-1836-0012.wav             | 2.2442   | OK        
1995-1836-0004.wav             | 1.1143   | OK        
1995-1836-0007.wav             | 1.1207   | OK        
1995-1836-0000.wav             | 1.1065   | OK        
1995-1836-0014.wav             | 2.2421   | OK        
1995-1836-0001.wav             | 1.1212   | OK        
1995-1826-0009.wav             | 1.1064   | OK        
1995-1826-0003.wav             | 1.1127   | OK        
1995-1826-0022.wav             | 1.1167   | OK        
1995-1826-0005.wav             | 1.1110   | OK        
1995-1826-0010.wav             | 1.1167   | OK        
1995-1826-0023.wav             | 1.1115   | OK        
1995-1826-0001.wav             | 1.1170   | OK        
1995-1826-0013.wav             | 1.1218   | OK        
1995-1826-0007.wav             | 1.1069   | OK        
1995-1826-0004.wav             | 1.1063   | OK        
1995-1826-0000.wav             | 1.1357   | OK        
1995-1826-0016.wav             | 1.1277   | OK        
1995-1826-0012.wav             | 1.1255   | OK        
1995-1826-0014.wav             | 2.2318   | OK        
1995-1826-0008.wav             | 1.1182   | OK        
1995-1826-0025.wav             | 2.3395   | OK        
1995-1826-0021.wav             | 1.1117   | OK        
1995-1826-0026.wav             | 1.1075   | OK        
1995-1826-0020.wav             | 1.1113   | OK        
1995-1826-0017.wav             | 1.1204   | OK        
1995-1826-0018.wav             | 1.1159   | OK        
1995-1826-0015.wav             | 1.7663   | OK        
1995-1826-0011.wav             | 1.1212   | OK        
1995-1826-0006.wav             | 1.1115   | OK        
1995-1826-0002.wav             | 1.1091   | OK        
1995-1826-0019.wav             | 1.1084   | OK        
1995-1826-0024.wav             | 1.1183   | OK        
3570-5696-0003.wav             | 1.1130   | OK        
3570-5696-0004.wav             | 1.1134   | OK        
3570-5696-0006.wav             | 1.1237   | OK        
3570-5696-0000.wav             | 1.1181   | OK        
3570-5696-0002.wav             | 1.1127   | OK        
3570-5696-0008.wav             | 1.1231   | OK        
3570-5696-0001.wav             | 1.1114   | OK        
3570-5696-0009.wav             | 1.1183   | OK        
3570-5696-0007.wav             | 1.1227   | OK        
3570-5696-0005.wav             | 1.1215   | OK        
3570-5696-0010.wav             | 1.1212   | OK        
3570-5694-0003.wav             | 1.1218   | OK        
3570-5694-0020.wav             | 2.2388   | OK        
3570-5694-0012.wav             | 1.1298   | OK        
3570-5694-0013.wav             | 1.1214   | OK        
3570-5694-0019.wav             | 1.1158   | OK        
3570-5694-0010.wav             | 1.1134   | OK        
3570-5694-0005.wav             | 1.1182   | OK        
3570-5694-0006.wav             | 2.2577   | OK        
3570-5694-0011.wav             | 1.1276   | OK        
3570-5694-0000.wav             | 1.1078   | OK        
3570-5694-0016.wav             | 1.1173   | OK        
3570-5694-0022.wav             | 2.2455   | OK        
3570-5694-0018.wav             | 1.1160   | OK        
3570-5694-0001.wav             | 3.2425   | OK        
3570-5694-0017.wav             | 1.1162   | OK        
3570-5694-0007.wav             | 1.1172   | OK        
3570-5694-0021.wav             | 2.2625   | OK        
3570-5694-0009.wav             | 1.1105   | OK        
3570-5694-0004.wav             | 1.3172   | OK        
3570-5694-0015.wav             | 1.1155   | OK        
3570-5694-0014.wav             | 1.6513   | OK        
3570-5694-0002.wav             | 1.1071   | OK        
3570-5694-0008.wav             | 1.1111   | OK        
3570-5695-0008.wav             | 1.1165   | OK        
3570-5695-0010.wav             | 1.1112   | OK        
3570-5695-0011.wav             | 1.1161   | OK        
3570-5695-0002.wav             | 3.8607   | OK        
3570-5695-0012.wav             | 1.1254   | OK        
3570-5695-0015.wav             | 1.1206   | OK        
3570-5695-0013.wav             | 2.2305   | OK        
3570-5695-0007.wav             | 1.1277   | OK        
3570-5695-0009.wav             | 1.1174   | OK        
3570-5695-0001.wav             | 1.1137   | OK        
3570-5695-0014.wav             | 1.1250   | OK        
3570-5695-0000.wav             | 1.1225   | OK        
3570-5695-0005.wav             | 1.1275   | OK        
3570-5695-0004.wav             | 1.1170   | OK        
3570-5695-0006.wav             | 1.1129   | OK        
3570-5695-0003.wav             | 1.1191   | OK        
5639-40744-0009.wav            | 1.1297   | OK        
5639-40744-0005.wav            | 1.1109   | OK        
5639-40744-0017.wav            | 1.1110   | OK        
5639-40744-0034.wav            | 1.1120   | OK        
5639-40744-0028.wav            | 1.1166   | OK        
5639-40744-0018.wav            | 1.1164   | OK        
5639-40744-0021.wav            | 1.1066   | OK        
5639-40744-0033.wav            | 2.2453   | OK        
5639-40744-0000.wav            | 1.1233   | OK        
5639-40744-0001.wav            | 2.2340   | OK        
5639-40744-0016.wav            | 5.8013   | OK        
5639-40744-0004.wav            | 1.1080   | OK        
5639-40744-0007.wav            | 2.2446   | OK        
5639-40744-0020.wav            | 2.2389   | OK        
5639-40744-0002.wav            | 1.1185   | OK        
5639-40744-0036.wav            | 1.1245   | OK        
5639-40744-0003.wav            | 1.1169   | OK        
5639-40744-0038.wav            | 2.2335   | OK        
5639-40744-0032.wav            | 1.1210   | OK        
5639-40744-0040.wav            | 1.1120   | OK        
5639-40744-0024.wav            | 1.1070   | OK        
