nohup: ignoring input
------------------------------------------------------------
模式: 并行评测 (线程数: 6)
模型: medium.en | Device: cuda
模型加载完成。
正在扫描数据集...
共找到 2620 个 wav 文件。
------------------------------------------------------------
Filename                       | Audio(s) | Cost(s)  | RTF   
------------------------------------------------------------
7021-79740-0009.wav            | 3.63     | 3.8573   | 1.0612
7021-79740-0006.wav            | 5.96     | 5.1554   | 0.8643
7021-79740-0004.wav            | 6.46     | 5.7422   | 0.8882
7021-79740-0007.wav            | 6.99     | 5.7977   | 0.8294
7021-79740-0012.wav            | 3.26     | 3.2400   | 0.9939
7021-79740-0000.wav            | 11.12    | 9.0900   | 0.8171
7021-79740-0013.wav            | 7.37     | 6.1735   | 0.8382
7021-79740-0005.wav            | 2.11     | 2.9249   | 1.3862
7021-79740-0014.wav            | 14.18    | 12.6233  | 0.8905
7021-79740-0011.wav            | 10.31    | 8.3173   | 0.8063
7021-79740-0001.wav            | 6.00     | 4.9965   | 0.8334
7021-79740-0003.wav            | 4.99     | 5.1747   | 1.0381
7021-79740-0008.wav            | 18.41    | 26.7201  | 1.4510
7021-85628-0006.wav            | 3.58     | 23.7789  | 6.6421
7021-79740-0002.wav            | 9.22     | 25.8091  | 2.7977
7021-79740-0010.wav            | 12.03    | 28.7853  | 2.3938
7021-85628-0019.wav            | 3.25     | 9.6047   | 2.9507
7021-85628-0000.wav            | 3.02     | 3.2697   | 1.0827
7021-85628-0026.wav            | 2.74     | 2.5885   | 0.9447
7021-85628-0015.wav            | 11.54    | 25.6844  | 2.2247
7021-85628-0003.wav            | 15.29    | 30.8037  | 2.0146
7021-85628-0017.wav            | 2.15     | 2.6729   | 1.2403
7021-85628-0001.wav            | 11.33    | 8.5821   | 0.7575
7021-85628-0008.wav            | 7.12     | 8.1429   | 1.1429
7021-85628-0002.wav            | 6.46     | 7.4326   | 1.1515
7021-85628-0024.wav            | 2.17     | 4.8218   | 2.2271
7021-85628-0016.wav            | 4.28     | 6.1027   | 1.4259
7021-85628-0013.wav            | 12.13    | 11.9484  | 0.9850
7021-85628-0004.wav            | 2.81     | 6.4746   | 2.3082
7021-85628-0022.wav            | 5.14     | 10.6704  | 2.0739
7021-85628-0005.wav            | 5.01     | 9.1716   | 1.8288
7021-85628-0009.wav            | 8.54     | 10.4516  | 1.2238
7021-85628-0027.wav            | 8.50     | 10.7244  | 1.2617
7021-85628-0021.wav            | 5.37     | 4.6375   | 0.8644
7021-85628-0011.wav            | 8.99     | 7.6849   | 0.8544
7021-85628-0014.wav            | 2.29     | 3.8006   | 1.6560
7021-85628-0010.wav            | 8.02     | 7.7323   | 0.9647
7021-85628-0020.wav            | 6.45     | 6.7139   | 1.0409
7021-85628-0018.wav            | 8.22     | 7.2348   | 0.8801
7021-85628-0012.wav            | 5.33     | 4.8570   | 0.9113
7021-85628-0025.wav            | 2.77     | 2.7387   | 0.9869
7021-85628-0007.wav            | 16.68    | 18.0002  | 1.0795
7021-79759-0001.wav            | 2.48     | 2.9126   | 1.1744
7021-85628-0023.wav            | 9.03     | 7.3053   | 0.8090
7021-79759-0000.wav            | 4.78     | 3.9621   | 0.8298
7021-79759-0002.wav            | 5.25     | 4.5427   | 0.8653
7021-79759-0003.wav            | 4.62     | 4.0981   | 0.8870
7021-79730-0005.wav            | 8.01     | 8.3170   | 1.0383
7021-79759-0005.wav            | 13.02    | 12.6794  | 0.9738
7021-79730-0006.wav            | 11.34    | 12.7371  | 1.1232
7021-79730-0002.wav            | 2.69     | 5.1401   | 1.9108
7021-79730-0007.wav            | 12.46    | 25.7318  | 2.0660
7021-79730-0000.wav            | 2.44     | 14.2049  | 5.8217
7021-79730-0004.wav            | 17.95    | 29.1235  | 1.6229
7021-79759-0004.wav            | 24.47    | 34.5991  | 1.4139
1995-1837-0009.wav             | 3.76     | 3.4356   | 0.9137
7021-79730-0001.wav            | 11.49    | 22.0467  | 1.9188
1995-1837-0019.wav             | 5.38     | 4.6441   | 0.8632
7021-79730-0009.wav            | 12.59    | 9.6667   | 0.7681
7021-79730-0008.wav            | 11.77    | 8.7008   | 0.7396
1995-1837-0022.wav             | 3.42     | 3.2829   | 0.9613
1995-1837-0010.wav             | 3.48     | 3.2077   | 0.9217
1995-1837-0006.wav             | 2.96     | 3.9982   | 1.3530
1995-1837-0027.wav             | 6.71     | 7.9944   | 1.1923
1995-1837-0011.wav             | 3.38     | 6.9534   | 2.0603
1995-1837-0028.wav             | 2.34     | 2.7079   | 1.1572
1995-1837-0023.wav             | 16.96    | 14.9536  | 0.8814
1995-1837-0013.wav             | 3.19     | 3.2742   | 1.0248
1995-1837-0003.wav             | 7.36     | 7.2788   | 0.9890
7021-79730-0003.wav            | 32.88    | 38.7771  | 1.1794
1995-1837-0025.wav             | 9.51     | 10.0190  | 1.0541
1995-1837-0002.wav             | 2.79     | 2.6353   | 0.9446
1995-1837-0015.wav             | 4.49     | 3.9266   | 0.8755
1995-1837-0024.wav             | 5.38     | 7.5326   | 1.3988
1995-1837-0005.wav             | 2.63     | 5.5114   | 2.0916
1995-1837-0007.wav             | 8.80     | 9.5650   | 1.0869
1995-1837-0016.wav             | 7.19     | 9.8069   | 1.3640
1995-1837-0001.wav             | 8.73     | 9.5595   | 1.0950
1995-1837-0004.wav             | 6.36     | 8.7802   | 1.3805
1995-1837-0000.wav             | 3.87     | 5.5911   | 1.4466
1995-1837-0029.wav             | 5.58     | 7.1677   | 1.2845
1995-1837-0017.wav             | 3.10     | 5.5939   | 1.8045
1995-1837-0020.wav             | 3.21     | 5.9296   | 1.8472
1995-1837-0008.wav             | 1.96     | 5.8888   | 3.0122
1995-1837-0026.wav             | 8.10     | 14.7571  | 1.8230
1995-1837-0021.wav             | 3.09     | 6.1548   | 1.9918
1995-1836-0002.wav             | 2.31     | 2.6890   | 1.1616
1995-1837-0018.wav             | 12.82    | 15.7752  | 1.2300
1995-1837-0012.wav             | 8.24     | 10.7794  | 1.3074
1995-1836-0008.wav             | 6.99     | 5.6755   | 0.8125
1995-1837-0014.wav             | 12.46    | 13.5655  | 1.0887
1995-1836-0006.wav             | 7.71     | 6.3104   | 0.8179
1995-1836-0011.wav             | 4.71     | 4.0927   | 0.8699
1995-1836-0009.wav             | 6.71     | 7.1623   | 1.0674
1995-1836-0005.wav             | 10.90    | 8.1937   | 0.7517
1995-1836-0012.wav             | 3.69     | 3.2637   | 0.8833
1995-1836-0013.wav             | 5.30     | 4.5320   | 0.8551
1995-1836-0003.wav             | 7.96     | 5.8255   | 0.7314
1995-1836-0007.wav             | 3.44     | 3.4496   | 1.0042
1995-1836-0001.wav             | 6.00     | 5.7153   | 0.9526
1995-1836-0000.wav             | 8.96     | 7.9112   | 0.8834
1995-1836-0014.wav             | 9.04     | 8.8001   | 0.9729
1995-1826-0009.wav             | 7.57     | 10.1397  | 1.3395
1995-1826-0022.wav             | 4.75     | 7.5399   | 1.5890
1995-1826-0003.wav             | 3.09     | 11.0420  | 3.5735
1995-1826-0010.wav             | 2.44     | 4.4807   | 1.8326
1995-1826-0005.wav             | 5.12     | 9.1531   | 1.7860
1995-1836-0010.wav             | 24.45    | 23.2924  | 0.9527
1995-1826-0004.wav             | 3.04     | 3.6063   | 1.1882
1995-1826-0023.wav             | 8.14     | 8.8399   | 1.0860
1995-1826-0007.wav             | 7.06     | 6.1829   | 0.8758
1995-1826-0013.wav             | 8.77     | 6.8778   | 0.7842
1995-1826-0001.wav             | 10.17    | 8.1300   | 0.7994
1995-1836-0004.wav             | 33.91    | 29.2751  | 0.8633
1995-1826-0014.wav             | 2.50     | 2.7112   | 1.0845
1995-1826-0008.wav             | 2.90     | 2.8943   | 0.9998
1995-1826-0016.wav             | 5.90     | 4.7005   | 0.7967
1995-1826-0000.wav             | 9.48     | 7.2883   | 0.7684
1995-1826-0012.wav             | 6.18     | 5.2694   | 0.8527
1995-1826-0025.wav             | 3.29     | 3.4595   | 1.0499
1995-1826-0015.wav             | 3.55     | 4.2953   | 1.2099
1995-1826-0018.wav             | 5.01     | 5.7193   | 1.1416
1995-1826-0017.wav             | 6.14     | 6.1588   | 1.0023
1995-1826-0021.wav             | 11.41    | 9.7950   | 0.8585
1995-1826-0020.wav             | 6.12     | 8.5574   | 1.3983
1995-1826-0006.wav             | 2.46     | 2.9396   | 1.1973
