nohup: ignoring input
------------------------------------------------------------
正在计算 RTF (模型: medium.en, Device: cuda)...
模型加载完成，开始遍历数据集...
------------------------------------------------------------
Filename                       | Audio(s) | Cost(s)  | RTF   
------------------------------------------------------------
7021-79740-0014.wav            | 14.18    | 4.6930   | 0.3311
7021-79740-0004.wav            | 6.46     | 0.9563   | 0.1479
7021-79740-0009.wav            | 3.63     | 0.5882   | 0.1618
7021-79740-0000.wav            | 11.12    | 1.5589   | 0.1401
7021-79740-0007.wav            | 6.99     | 0.9662   | 0.1382
7021-79740-0006.wav            | 5.96     | 0.8458   | 0.1418
7021-79740-0008.wav            | 18.41    | 2.4756   | 0.1344
7021-79740-0013.wav            | 7.37     | 1.0539   | 0.1431
7021-79740-0011.wav            | 10.31    | 1.4753   | 0.1430
7021-79740-0012.wav            | 3.26     | 0.5890   | 0.1807
7021-79740-0005.wav            | 2.11     | 0.4435   | 0.2102
7021-79740-0001.wav            | 6.00     | 0.8266   | 0.1379
7021-79740-0010.wav            | 12.03    | 3.6602   | 0.3044
7021-79740-0003.wav            | 4.99     | 0.7166   | 0.1438
7021-79740-0002.wav            | 9.22     | 2.3154   | 0.2510
7021-85628-0003.wav            | 15.29    | 6.1773   | 0.4040
7021-85628-0006.wav            | 3.58     | 1.4446   | 0.4035
7021-85628-0015.wav            | 11.54    | 1.5690   | 0.1359
7021-85628-0019.wav            | 3.25     | 0.7626   | 0.2343
7021-85628-0001.wav            | 11.33    | 1.5791   | 0.1394
7021-85628-0000.wav            | 3.02     | 0.5690   | 0.1884
7021-85628-0013.wav            | 12.13    | 2.8639   | 0.2361
7021-85628-0026.wav            | 2.74     | 0.4782   | 0.1745
7021-85628-0008.wav            | 7.12     | 1.0641   | 0.1494
7021-85628-0002.wav            | 6.46     | 0.9426   | 0.1460
7021-85628-0017.wav            | 2.15     | 0.4604   | 0.2137
7021-85628-0016.wav            | 4.28     | 0.7071   | 0.1652
7021-85628-0024.wav            | 2.17     | 0.4467   | 0.2063
7021-85628-0022.wav            | 5.14     | 0.8151   | 0.1584
7021-85628-0005.wav            | 5.01     | 2.4811   | 0.4947
7021-85628-0009.wav            | 8.54     | 1.1848   | 0.1387
7021-85628-0004.wav            | 2.81     | 0.4686   | 0.1670
7021-85628-0027.wav            | 8.50     | 4.0413   | 0.4754
7021-85628-0007.wav            | 16.68    | 3.8321   | 0.2298
7021-85628-0011.wav            | 8.99     | 1.2044   | 0.1339
7021-85628-0021.wav            | 5.37     | 0.8282   | 0.1544
7021-85628-0010.wav            | 8.02     | 1.2469   | 0.1556
7021-85628-0020.wav            | 6.45     | 1.1222   | 0.1740
7021-85628-0014.wav            | 2.29     | 0.4453   | 0.1940
7021-85628-0018.wav            | 8.22     | 1.1105   | 0.1351
7021-85628-0012.wav            | 5.33     | 0.8620   | 0.1617
7021-85628-0023.wav            | 9.03     | 1.3736   | 0.1521
7021-85628-0025.wav            | 2.77     | 0.4541   | 0.1636
7021-79759-0001.wav            | 2.48     | 2.0477   | 0.8257
7021-79759-0002.wav            | 5.25     | 0.8138   | 0.1550
7021-79759-0004.wav            | 24.47    | 3.3379   | 0.1364
7021-79759-0000.wav            | 4.78     | 0.7068   | 0.1480
7021-79759-0003.wav            | 4.62     | 1.6340   | 0.3537
7021-79759-0005.wav            | 13.02    | 1.8043   | 0.1386
7021-79730-0006.wav            | 11.34    | 1.5698   | 0.1384
7021-79730-0004.wav            | 17.95    | 2.3254   | 0.1296
7021-79730-0005.wav            | 8.01     | 1.0970   | 0.1370
7021-79730-0007.wav            | 12.46    | 1.6754   | 0.1345
7021-79730-0002.wav            | 2.69     | 0.4392   | 0.1633
7021-79730-0003.wav            | 32.88    | 4.3226   | 0.1315
7021-79730-0001.wav            | 11.49    | 7.1565   | 0.6228
7021-79730-0000.wav            | 2.44     | 0.4485   | 0.1838
7021-79730-0009.wav            | 12.59    | 1.7885   | 0.1421
7021-79730-0008.wav            | 11.77    | 1.5390   | 0.1308
1995-1837-0009.wav             | 3.76     | 0.6168   | 0.1641
1995-1837-0019.wav             | 5.38     | 0.8505   | 0.1581
1995-1837-0023.wav             | 16.96    | 2.2870   | 0.1348
1995-1837-0022.wav             | 3.42     | 0.5816   | 0.1703
1995-1837-0010.wav             | 3.48     | 0.5702   | 0.1638
1995-1837-0027.wav             | 6.71     | 0.9476   | 0.1413
1995-1837-0006.wav             | 2.96     | 0.4646   | 0.1572
1995-1837-0011.wav             | 3.38     | 4.6006   | 1.3631
1995-1837-0025.wav             | 9.51     | 1.3251   | 0.1394
1995-1837-0003.wav             | 7.36     | 1.0656   | 0.1448
1995-1837-0028.wav             | 2.34     | 0.4618   | 0.1973
1995-1837-0013.wav             | 3.19     | 0.5800   | 0.1815
1995-1837-0015.wav             | 4.49     | 0.7189   | 0.1603
1995-1837-0002.wav             | 2.79     | 0.4598   | 0.1648
1995-1837-0007.wav             | 8.80     | 1.2447   | 0.1414
1995-1837-0016.wav             | 7.19     | 3.6609   | 0.5092
1995-1837-0001.wav             | 8.73     | 1.2183   | 0.1396
1995-1837-0024.wav             | 5.38     | 0.8425   | 0.1565
1995-1837-0004.wav             | 6.36     | 0.9526   | 0.1498
