--------------------------------------------------
正在加载模型 large-v3 (包含能量VAD + 字数熔断机制)...
模型加载完成。
--------------------------------------------------
开始遍历数据集: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean
File: 7021-79740-0000.wav | WER: 0.1538 | Dist: 4 | RefWords: 26
File: 7021-79740-0001.wav | WER: 0.0714 | Dist: 1 | RefWords: 14
File: 7021-79740-0002.wav | WER: 0.1905 | Dist: 4 | RefWords: 21
File: 7021-79740-0003.wav | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 7021-79740-0004.wav | WER: 0.6250 | Dist: 10 | RefWords: 16
File: 7021-79740-0005.wav | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 7021-79740-0006.wav | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 7021-79740-0007.wav | WER: 0.0556 | Dist: 1 | RefWords: 18
File: 7021-79740-0008.wav | WER: 0.1667 | Dist: 8 | RefWords: 48
File: 7021-79740-0009.wav | WER: 0.1000 | Dist: 1 | RefWords: 10
File: 7021-79740-0010.wav | WER: 0.2000 | Dist: 7 | RefWords: 35
File: 7021-79740-0011.wav | WER: 0.2692 | Dist: 7 | RefWords: 26
File: 7021-79740-0012.wav | WER: 0.2857 | Dist: 2 | RefWords: 7
File: 7021-79740-0013.wav | WER: 0.5000 | Dist: 11 | RefWords: 22
File: 7021-79740-0014.wav | WER: 0.1053 | Dist: 4 | RefWords: 38
File: 7021-85628-0000.wav | WER: 0.1667 | Dist: 1 | RefWords: 6
File: 7021-85628-0001.wav | WER: 0.2500 | Dist: 7 | RefWords: 28
File: 7021-85628-0002.wav | WER: 0.3125 | Dist: 5 | RefWords: 16
File: 7021-85628-0003.wav | WER: 0.1892 | Dist: 7 | RefWords: 37
File: 7021-85628-0004.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 7021-85628-0005.wav | WER: 0.2667 | Dist: 4 | RefWords: 15
File: 7021-85628-0006.wav | WER: 0.1111 | Dist: 1 | RefWords: 9
File: 7021-85628-0007.wav | WER: 0.2368 | Dist: 9 | RefWords: 38
File: 7021-85628-0008.wav | WER: 0.4118 | Dist: 7 | RefWords: 17
File: 7021-85628-0009.wav | WER: 0.2857 | Dist: 6 | RefWords: 21
File: 7021-85628-0010.wav | WER: 0.4118 | Dist: 7 | RefWords: 17
File: 7021-85628-0011.wav | WER: 0.2917 | Dist: 7 | RefWords: 24
File: 7021-85628-0012.wav | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 7021-85628-0013.wav | WER: 0.1562 | Dist: 5 | RefWords: 32
File: 7021-85628-0014.wav | WER: 0.6000 | Dist: 3 | RefWords: 5
File: 7021-85628-0015.wav | WER: 0.1034 | Dist: 3 | RefWords: 29
File: 7021-85628-0016.wav | WER: 0.1000 | Dist: 1 | RefWords: 10
File: 7021-85628-0017.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 7021-85628-0018.wav | WER: 0.1818 | Dist: 4 | RefWords: 22
File: 7021-85628-0019.wav | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 7021-85628-0020.wav | WER: 0.1765 | Dist: 3 | RefWords: 17
File: 7021-85628-0021.wav | WER: 0.5625 | Dist: 9 | RefWords: 16
File: 7021-85628-0022.wav | WER: 0.0714 | Dist: 1 | RefWords: 14
File: 7021-85628-0023.wav | WER: 0.1538 | Dist: 4 | RefWords: 26
File: 7021-85628-0024.wav | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 7021-85628-0025.wav | WER: 0.1667 | Dist: 1 | RefWords: 6
File: 7021-85628-0026.wav | WER: 0.0000 | Dist: 0 | RefWords: 6
File: 7021-85628-0027.wav | WER: 0.3043 | Dist: 7 | RefWords: 23
File: 7021-79759-0000.wav | WER: 0.2500 | Dist: 2 | RefWords: 8
File: 7021-79759-0001.wav | WER: 0.5000 | Dist: 2 | RefWords: 4
File: 7021-79759-0002.wav | WER: 0.0000 | Dist: 0 | RefWords: 12
File: 7021-79759-0003.wav | WER: 0.3750 | Dist: 3 | RefWords: 8
File: 7021-79759-0004.wav | WER: 0.1786 | Dist: 10 | RefWords: 56
File: 7021-79759-0005.wav | WER: 0.1765 | Dist: 6 | RefWords: 34
File: 7021-79730-0000.wav | WER: 0.4000 | Dist: 2 | RefWords: 5
File: 7021-79730-0001.wav | WER: 0.2308 | Dist: 6 | RefWords: 26
File: 7021-79730-0002.wav | WER: 1.0000 | Dist: 4 | RefWords: 4
File: 7021-79730-0003.wav | WER: 0.2742 | Dist: 17 | RefWords: 62
File: 7021-79730-0004.wav | WER: 0.3261 | Dist: 15 | RefWords: 46
File: 7021-79730-0005.wav | WER: 0.1818 | Dist: 4 | RefWords: 22
File: 7021-79730-0006.wav | WER: 0.1538 | Dist: 4 | RefWords: 26
File: 7021-79730-0007.wav | WER: 0.1667 | Dist: 6 | RefWords: 36
File: 7021-79730-0008.wav | WER: 0.2083 | Dist: 5 | RefWords: 24
File: 7021-79730-0009.wav | WER: 0.3667 | Dist: 11 | RefWords: 30
File: 1995-1837-0000.wav | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 1995-1837-0001.wav | WER: 0.2667 | Dist: 8 | RefWords: 30
File: 1995-1837-0002.wav | WER: 0.3333 | Dist: 2 | RefWords: 6
File: 1995-1837-0003.wav | WER: 0.3913 | Dist: 9 | RefWords: 23
File: 1995-1837-0004.wav | WER: 0.4444 | Dist: 8 | RefWords: 18
File: 1995-1837-0005.wav | WER: 0.3750 | Dist: 3 | RefWords: 8
File: 1995-1837-0006.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 1995-1837-0007.wav | WER: 0.1481 | Dist: 4 | RefWords: 27
File: 1995-1837-0008.wav | WER: 0.3333 | Dist: 2 | RefWords: 6
File: 1995-1837-0009.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 1995-1837-0010.wav | WER: 0.1250 | Dist: 1 | RefWords: 8
File: 1995-1837-0011.wav | WER: 0.4444 | Dist: 4 | RefWords: 9
File: 1995-1837-0012.wav | WER: 0.1250 | Dist: 3 | RefWords: 24
File: 1995-1837-0013.wav | WER: 0.5000 | Dist: 4 | RefWords: 8
File: 1995-1837-0014.wav | WER: 0.1429 | Dist: 5 | RefWords: 35
File: 1995-1837-0015.wav | WER: 0.5000 | Dist: 7 | RefWords: 14
File: 1995-1837-0016.wav | WER: 0.5882 | Dist: 10 | RefWords: 17
File: 1995-1837-0017.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 1995-1837-0018.wav | WER: 0.2381 | Dist: 10 | RefWords: 42
File: 1995-1837-0019.wav | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 1995-1837-0020.wav | WER: 0.4000 | Dist: 4 | RefWords: 10
File: 1995-1837-0021.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 1995-1837-0022.wav | WER: 0.0833 | Dist: 1 | RefWords: 12
File: 1995-1837-0023.wav | WER: 0.2391 | Dist: 11 | RefWords: 46
File: 1995-1837-0024.wav | WER: 0.5556 | Dist: 10 | RefWords: 18
File: 1995-1837-0025.wav | WER: 0.2500 | Dist: 6 | RefWords: 24
File: 1995-1837-0026.wav | WER: 0.5417 | Dist: 13 | RefWords: 24
File: 1995-1837-0027.wav | WER: 0.3333 | Dist: 6 | RefWords: 18
File: 1995-1837-0028.wav | WER: 0.2857 | Dist: 2 | RefWords: 7
File: 1995-1837-0029.wav | WER: 0.0714 | Dist: 1 | RefWords: 14
File: 1995-1836-0000.wav | WER: 0.1818 | Dist: 4 | RefWords: 22
File: 1995-1836-0001.wav | WER: 0.1053 | Dist: 2 | RefWords: 19
File: 1995-1836-0002.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 1995-1836-0003.wav | WER: 0.4286 | Dist: 9 | RefWords: 21
File: 1995-1836-0004.wav | WER: 0.2188 | Dist: 21 | RefWords: 96
File: 1995-1836-0005.wav | WER: 0.2333 | Dist: 7 | RefWords: 30
File: 1995-1836-0006.wav | WER: 0.2105 | Dist: 4 | RefWords: 19
File: 1995-1836-0007.wav | WER: 0.3333 | Dist: 3 | RefWords: 9
File: 1995-1836-0008.wav | WER: 0.1176 | Dist: 2 | RefWords: 17
File: 1995-1836-0009.wav | WER: 0.7778 | Dist: 7 | RefWords: 9
File: 1995-1836-0010.wav | WER: 0.2154 | Dist: 14 | RefWords: 65
File: 1995-1836-0011.wav | WER: 0.3750 | Dist: 3 | RefWords: 8
File: 1995-1836-0012.wav | WER: 1.5000 | Dist: 9 | RefWords: 6
File: 1995-1836-0013.wav | WER: 0.3571 | Dist: 5 | RefWords: 14
File: 1995-1836-0014.wav | WER: 0.4737 | Dist: 9 | RefWords: 19
File: 1995-1826-0000.wav | WER: 0.1481 | Dist: 4 | RefWords: 27
File: 1995-1826-0001.wav | WER: 0.3333 | Dist: 9 | RefWords: 27
File: 1995-1826-0002.wav | WER: 0.0833 | Dist: 1 | RefWords: 12
File: 1995-1826-0003.wav | WER: 0.3333 | Dist: 2 | RefWords: 6
File: 1995-1826-0004.wav | WER: 0.3333 | Dist: 2 | RefWords: 6
File: 1995-1826-0005.wav | WER: 0.2500 | Dist: 2 | RefWords: 8
