--------------------------------------------------
模式: 尾部保留策略 (>2词输出, 保留最后2词音频)
模型: large-v3 | Device: CUDA
--------------------------------------------------
开始评测...
File: 7021-79740-0000.wav | WER: 0.4231 | Dist: 11 | RefWords: 26
File: 7021-79740-0001.wav | WER: 0.2143 | Dist: 3 | RefWords: 14
File: 7021-79740-0002.wav | WER: 0.3333 | Dist: 7 | RefWords: 21
File: 7021-79740-0003.wav | WER: 0.0667 | Dist: 1 | RefWords: 15
File: 7021-79740-0004.wav | WER: 0.3750 | Dist: 6 | RefWords: 16
File: 7021-79740-0005.wav | WER: 0.5000 | Dist: 2 | RefWords: 4
File: 7021-79740-0006.wav | WER: 0.3333 | Dist: 5 | RefWords: 15
File: 7021-79740-0007.wav | WER: 0.1667 | Dist: 3 | RefWords: 18
File: 7021-79740-0008.wav | WER: 0.1667 | Dist: 8 | RefWords: 48
File: 7021-79740-0009.wav | WER: 0.1000 | Dist: 1 | RefWords: 10
File: 7021-79740-0010.wav | WER: 0.1714 | Dist: 6 | RefWords: 35
File: 7021-79740-0011.wav | WER: 0.1538 | Dist: 4 | RefWords: 26
File: 7021-79740-0012.wav | WER: 0.2857 | Dist: 2 | RefWords: 7
File: 7021-79740-0013.wav | WER: 0.3182 | Dist: 7 | RefWords: 22
File: 7021-79740-0014.wav | WER: 0.1842 | Dist: 7 | RefWords: 38
File: 7021-85628-0000.wav | WER: 0.5000 | Dist: 3 | RefWords: 6
File: 7021-85628-0001.wav | WER: 0.2500 | Dist: 7 | RefWords: 28
File: 7021-85628-0002.wav | WER: 0.2500 | Dist: 4 | RefWords: 16
File: 7021-85628-0003.wav | WER: 0.3514 | Dist: 13 | RefWords: 37
File: 7021-85628-0004.wav | WER: 0.2000 | Dist: 1 | RefWords: 5
File: 7021-85628-0005.wav | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 7021-85628-0006.wav | WER: 0.2222 | Dist: 2 | RefWords: 9
File: 7021-85628-0007.wav | WER: 0.3421 | Dist: 13 | RefWords: 38
