nohup: ignoring input
--------------------------------------------------
Loading Model: medium.en on cuda...
Model Loaded.
--------------------------------------------------
Indexing audio files in /opt/Audio_Datasets/TEDLIUM_WAV ...
Indexed 2582 audio files.
--------------------------------------------------
File: 000000 | WER: 0.0000 | Dist: 0 | RefWords: 22
File: 000001 | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 000002 | WER: 0.2381 | Dist: 5 | RefWords: 21
File: 000003 | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 000004 | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000005 | WER: 0.0000 | Dist: 0 | RefWords: 16
File: 000007 | WER: 0.0000 | Dist: 0 | RefWords: 22
File: 000008 | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000009 | WER: 0.0556 | Dist: 1 | RefWords: 18
File: 000010 | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000011 | WER: 0.0625 | Dist: 1 | RefWords: 16
File: 000012 | WER: 0.1429 | Dist: 3 | RefWords: 21
File: 000013 | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000014 | WER: 0.3125 | Dist: 5 | RefWords: 16
File: 000015 | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000016 | WER: 0.0000 | Dist: 0 | RefWords: 18
File: 000017 | WER: 0.1000 | Dist: 3 | RefWords: 30
File: 000018 | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000019 | WER: 0.0625 | Dist: 1 | RefWords: 16
File: 000020 | WER: 0.0952 | Dist: 2 | RefWords: 21
File: 000021 | WER: 0.2222 | Dist: 2 | RefWords: 9
File: 000022 | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000023 | WER: 0.0833 | Dist: 1 | RefWords: 12
File: 000024 | WER: 0.0667 | Dist: 1 | RefWords: 15
File: 000025 | WER: 0.0000 | Dist: 0 | RefWords: 26
File: 000026 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000027 | WER: 0.1250 | Dist: 1 | RefWords: 8
File: 000028 | WER: 0.4286 | Dist: 3 | RefWords: 7
