nohup: ignoring input
--------------------------------------------------
正在加载模型 medium.en (TEDLIUM 全量推理模式)...
模型加载完成。
--------------------------------------------------
正在加载参考文本: /opt/Audio_Datasets/TEDLIUM_WAV/text.txt
已加载 2582 条参考文本。
开始遍历音频文件: /opt/Audio_Datasets/TEDLIUM_WAV
File: 001132.wav | WER: 0.1818 | Dist: 2 | RefWords: 11
File: 001152.wav | WER: 0.3125 | Dist: 5 | RefWords: 16
File: 001101.wav | WER: 0.0000 | Dist: 0 | RefWords: 16
File: 001108.wav | WER: 0.0000 | Dist: 0 | RefWords: 18
File: 001106.wav | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 001165.wav | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 001119.wav | WER: 0.2727 | Dist: 6 | RefWords: 22
File: 001103.wav | WER: 0.1429 | Dist: 2 | RefWords: 14
File: 001121.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 001151.wav | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 001162.wav | WER: 0.0000 | Dist: 0 | RefWords: 27
File: 001120.wav | WER: 0.0000 | Dist: 0 | RefWords: 29
File: 001166.wav | WER: 0.0952 | Dist: 2 | RefWords: 21
File: 001197.wav | WER: 0.0417 | Dist: 1 | RefWords: 24
File: 001157.wav | WER: 0.1250 | Dist: 3 | RefWords: 24
File: 001194.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 001134.wav | WER: 0.1429 | Dist: 2 | RefWords: 14
File: 001176.wav | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 001185.wav | WER: 0.2941 | Dist: 10 | RefWords: 34
File: 001189.wav | WER: 0.1667 | Dist: 7 | RefWords: 42
File: 001107.wav | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 001196.wav | WER: 0.0652 | Dist: 3 | RefWords: 46
File: 001100.wav | WER: 0.0000 | Dist: 0 | RefWords: 6
File: 001105.wav | WER: 0.0000 | Dist: 0 | RefWords: 9
