nohup: ignoring input
------------------------------------------------------------
初始化并发系统 (Workers=43)...
Loading NLP Model: oliverguhr/fullstop-punctuation-multilang-large ...
Device set to use cuda:0
模型加载完成。
------------------------------------------------------------
找到 2620 个音频文件。
开始并行处理...
文件名                                      | 音频时长(s)      | 完整生成耗时(s)       | 实时率(RTF)  
------------------------------------------------------------------------------------------
7021-79740-0005.wav                      | 2.11         | 2.0605          | 0.9765    
7021-85628-0024.wav                      | 2.17         | 2.2109          | 1.0212    
7021-85628-0014.wav                      | 2.29         | 2.3346          | 1.0173    
7021-85628-0017.wav                      | 2.15         | 2.7412          | 1.2720    
7021-79740-0012.wav                      | 3.26         | 2.8556          | 0.8760    
7021-85628-0006.wav                      | 3.58         | 2.8655          | 0.8004    
7021-85628-0026.wav                      | 2.74         | 2.8655          | 1.0458    
7021-85628-0019.wav                      | 3.25         | 2.9640          | 0.9106    
7021-85628-0004.wav                      | 2.81         | 2.9579          | 1.0545    
7021-85628-0025.wav                      | 2.77         | 2.8969          | 1.0439    
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
7021-85628-0000.wav                      | 3.02         | 3.2991          | 1.0924    
7021-85628-0016.wav                      | 4.28         | 3.5419          | 0.8275    
7021-79759-0001.wav                      | 2.48         | 1.5069          | 0.6076    
7021-79740-0009.wav                      | 3.63         | 3.5921          | 0.9882    
7021-79740-0003.wav                      | 4.99         | 3.7299          | 0.7482    
7021-85628-0022.wav                      | 5.14         | 3.9212          | 0.7621    
7021-85628-0002.wav                      | 6.46         | 4.1080          | 0.6364    
7021-85628-0005.wav                      | 5.01         | 4.3339          | 0.8642    
7021-79740-0006.wav                      | 5.96         | 4.3784          | 0.7340    
7021-85628-0021.wav                      | 5.37         | 4.4578          | 0.8309    
7021-79740-0007.wav                      | 6.99         | 4.7776          | 0.6835    
7021-79740-0004.wav                      | 6.46         | 4.8874          | 0.7560    
7021-85628-0012.wav                      | 5.33         | 4.9229          | 0.9236    
7021-79740-0001.wav                      | 6.00         | 5.0705          | 0.8458    
7021-79730-0002.wav                      | 2.69         | 1.8665          | 0.6939    
7021-79730-0000.wav                      | 2.44         | 1.6045          | 0.6576    
7021-85628-0020.wav                      | 6.45         | 5.4488          | 0.8448    
7021-79740-0013.wav                      | 7.37         | 5.6164          | 0.7626    
7021-79759-0003.wav                      | 4.62         | 2.7673          | 0.5990    
7021-79759-0002.wav                      | 5.25         | 3.4942          | 0.6656    
7021-85628-0008.wav                      | 7.12         | 5.7669          | 0.8094    
7021-79759-0000.wav                      | 4.78         | 3.2559          | 0.6819    
7021-79740-0002.wav                      | 9.22         | 6.2640          | 0.6790    
7021-85628-0009.wav                      | 8.54         | 6.4726          | 0.7579    
1995-1837-0009.wav                       | 3.76         | 2.4763          | 0.6586    
1995-1837-0010.wav                       | 3.48         | 1.9462          | 0.5592    
1995-1837-0022.wav                       | 3.42         | 2.2414          | 0.6563    
1995-1837-0006.wav                       | 2.96         | 1.9957          | 0.6754    
7021-85628-0018.wav                      | 8.22         | 7.0429          | 0.8568    
1995-1837-0028.wav                       | 2.34         | 1.6670          | 0.7124    
1995-1837-0011.wav                       | 3.38         | 2.1398          | 0.6340    
1995-1837-0002.wav                       | 2.79         | 1.6036          | 0.5748    
7021-85628-0027.wav                      | 8.50         | 7.4339          | 0.8746    
7021-85628-0010.wav                      | 8.02         | 7.4816          | 0.9335    
1995-1837-0013.wav                       | 3.19         | 1.9909          | 0.6231    
7021-85628-0011.wav                      | 8.99         | 7.6268          | 0.8479    
7021-79740-0011.wav                      | 10.31        | 7.7729          | 0.7535    
