nohup: ignoring input
------------------------------------------------------------------------------------------
TTFT 压力测试初始化 (并发数 Workers=46)...
Device set to use cuda:0
/project/sherpa-onnx/csrc/session.cc:GetSessionOptionsImpl:181 Please compile with -DSHERPA_ONNX_ENABLE_GPU=ON. Available providers: CPUExecutionProvider, . Fallback to cpu!
模型加载完成。
待处理文件数: 2620
算法逻辑: TTFT = max(音频传输耗时, 系统当前时刻) + 解码耗时 + NLP耗时
------------------------------------------------------------------------------------------
文件名                                      | TTFT(s)    | 首字内容 (前30字符)
------------------------------------------------------------------------------------------
7021-79740-0014.wav                      | 1.9756     | and.
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
7021-85628-0004.wav                      | 1.9639     | ye.
7021-79740-0006.wav                      | 2.0173     | i.
7021-79740-0010.wav                      | 2.0651     | deli.
7021-85628-0000.wav                      | 2.0560     | but,
7021-79740-0001.wav                      | 2.0912     | dell.
7021-85628-0001.wav                      | 2.1023     | he.
7021-79740-0003.wav                      | 2.2118     | to.
7021-79740-0005.wav                      | 2.2322     | i.
7021-85628-0011.wav                      | 1.9271     | the.
7021-79740-0013.wav                      | 2.2510     | put.
7021-85628-0021.wav                      | 1.9657     | he.
7021-85628-0017.wav                      | 2.2291     | so.
7021-85628-0026.wav                      | 2.2510     | no, my.
7021-79740-0004.wav                      | 2.2912     | you.
7021-85628-0023.wav                      | 1.9732     | but,
7021-79740-0009.wav                      | 2.3017     | they.
7021-79740-0012.wav                      | 2.3813     | said:
7021-79740-0002.wav                      | 2.3986     | now.
7021-79730-0004.wav                      | 0.9901     | the.
7021-85628-0019.wav                      | 2.4355     | with.
7021-85628-0022.wav                      | 2.5168     | and.
7021-79730-0005.wav                      | 1.2765     | so.
7021-79730-0003.wav                      | 1.1351     | as.
7021-79759-0005.wav                      | 1.5400     | the.
7021-85628-0003.wav                      | 2.8488     | now.
7021-79730-0006.wav                      | 1.4856     | the.
1995-1837-0019.wav                       | 1.2352     | he.
7021-79759-0000.wav                      | 1.5689     | na.
1995-1837-0022.wav                       | 1.1567     | up.
