nohup: ignoring input
------------------------------------------------------------------------------------------
ASR 首字延迟(TTFT) 纯净测试
并发数: 49 | 分片: 0.1s | 排除 BERT 干扰
/opt/sherpa-onnx/sherpa-onnx/csrc/session.cc:GetSessionOptionsImpl:181 Please compile with -DSHERPA_ONNX_ENABLE_GPU=ON. Available providers: CPUExecutionProvider, . Fallback to cpu!
ASR 模型加载完成。
待处理文件: 2620
------------------------------------------------------------------------------------------
文件名                            | TTFT(s)    | ASR原始输出 (Raw)
------------------------------------------------------------------------------------------
7021-79740-0004.wav            | 1.1061     | YOU
7021-79740-0000.wav            | 1.3150     | TO
7021-79740-0005.wav            | 1.4798     | I
7021-79740-0013.wav            | 1.5272     | PUT
7021-79759-0002.wav            | 1.4185     | THEY ARE
7021-85628-0027.wav            | 1.5292     | IF
7021-79740-0006.wav            | 1.5807     | I
7021-79740-0007.wav            | 1.5786     | THEN
7021-79740-0014.wav            | 1.5865     | AND
7021-79740-0012.wav            | 1.5902     | SAID
7021-79740-0003.wav            | 1.6345     | TO
7021-79740-0002.wav            | 1.6752     | NOW
7021-79730-0006.wav            | 1.3624     | THE
7021-85628-0000.wav            | 1.6947     | BUT
7021-79740-0001.wav            | 1.7331     | DELL
7021-79740-0009.wav            | 1.7390     | THEY
7021-79759-0004.wav            | 1.5834     | WITHOUT
7021-85628-0002.wav            | 1.7680     | HE
7021-79730-0004.wav            | 1.0934     | THE
1995-1837-0006.wav             | 1.0451     | THE
7021-79730-0009.wav            | 1.1973     | IT
7021-79730-0008.wav            | 1.2714     | BUT
7021-85628-0012.wav            | 2.1268     | BUT
1995-1837-0009.wav             | 1.2084     | THE
7021-85628-0014.wav            | 2.1715     | HE
1995-1837-0019.wav             | 1.2583     | HE
7021-79730-0000.wav            | 1.3249     | THE
7021-79730-0005.wav            | 1.4730     | SO
7021-85628-0015.wav            | 2.4171     | WELL
7021-85628-0011.wav            | 2.4540     | THE
7021-79740-0008.wav            | 2.5035     | FOR
7021-79730-0001.wav            | 1.6401     | TO
7021-79730-0003.wav            | 1.6398     | AS
7021-79740-0010.wav            | 2.7180     | DELI
7021-79730-0007.wav            | 1.7706     | IF
1995-1837-0005.wav             | 0.7419     | SHE
1995-1837-0010.wav             | 1.5653     | PERHAPS
7021-85628-0006.wav            | 2.7931     | I AM
1995-1837-0011.wav             | 1.5194     | HE
7021-85628-0004.wav            | 2.7911     | YE
1995-1837-0023.wav             | 1.6444     | THE NE
1995-1837-0022.wav             | 1.6791     | UP
1995-1837-0015.wav             | 1.1244     | THE
7021-85628-0020.wav            | 2.7809     | HE DAR
7021-85628-0024.wav            | 2.9672     | ANDERS
1995-1837-0028.wav             | 1.2837     | THE
7021-85628-0021.wav            | 2.9154     | HE
7021-85628-0016.wav            | 3.0684     | THAT
7021-85628-0026.wav            | 3.0683     | NO MY
7021-85628-0023.wav            | 2.9335     | BUT
7021-85628-0001.wav            | 3.0892     | HE
7021-85628-0009.wav            | 3.1483     | AT
7021-85628-0005.wav            | 3.1846     | SEEING
7021-85628-0003.wav            | 3.2044     | NOW
1995-1837-0007.wav             | 1.4482     | THEN
1995-1837-0026.wav             | 1.2676     | SHE
7021-79730-0002.wav            | 2.3186     | BY
7021-85628-0008.wav            | 3.2936     | FOR
7021-85628-0017.wav            | 3.3058     | SO
1995-1837-0013.wav             | 1.5910     | THEN
7021-79759-0005.wav            | 3.2377     | THE
7021-85628-0007.wav            | 3.2836     | AND SHE
1995-1837-0025.wav             | 2.1465     | SHE
1995-1837-0004.wav             | 1.5472     | HE
1995-1837-0000.wav             | 1.3524     | HE
1995-1837-0002.wav             | 1.7423     | AH
1995-1837-0017.wav             | 1.3092     | HE
1995-1837-0001.wav             | 1.6659     | IT WAS
1995-1836-0006.wav             | 1.1733     | SHE WAS
1995-1837-0027.wav             | 2.3404     | ON
7021-85628-0022.wav            | 3.5500     | AND
1995-1837-0016.wav             | 1.7042     | FOR
1995-1836-0005.wav             | 1.1614     | MISSUS
1995-1836-0002.wav             | 1.3892     | WHY
7021-85628-0019.wav            | 3.7363     | WITH
1995-1837-0014.wav             | 1.4707     | HE
7021-79740-0011.wav            | 3.7774     | SO
7021-85628-0013.wav            | 3.8708     | THE
7021-79759-0000.wav            | 3.7436     | NA
1995-1836-0004.wav             | 1.3010     | AS SHE
1995-1836-0009.wav             | 1.4839     | BUT
1995-1837-0029.wav             | 1.7713     | HE
1995-1837-0024.wav             | 2.0151     | FOR A WHILE
1995-1837-0008.wav             | 1.6685     | WHERE
1995-1836-0008.wav             | 1.5943     | I BELIEVE
1995-1826-0010.wav             | 1.2508     | AT
1995-1836-0010.wav             | 1.4608     | THE
1995-1837-0021.wav             | 1.7574     | THE
1995-1837-0018.wav             | 1.8724     | HE
1995-1826-0016.wav             | 1.2703     | THE
1995-1837-0020.wav             | 1.9981     | THE
1995-1836-0012.wav             | 1.6561     | BUT
1995-1826-0022.wav             | 1.4540     | I
1995-1836-0001.wav             | 1.4787     | AT LAST
1995-1837-0003.wav             | 2.5631     | THE REVE
1995-1826-0009.wav             | 1.5054     | YOU
7021-85628-0025.wav            | 4.1649     | BUT
1995-1826-0000.wav             | 1.3234     | IN THE
1995-1836-0003.wav             | 1.8355     | SHE
1995-1826-0012.wav             | 1.3404     | SHE
1995-1836-0011.wav             | 1.9152     | POSIT
1995-1836-0007.wav             | 1.8101     | DO YOU BELIEVE
7021-79759-0001.wav            | 4.3604     | THAT
1995-1826-0013.wav             | 1.6010     | SO
1995-1837-0012.wav             | 2.2772     | HE SPLASH
1995-1826-0024.wav             | 1.1981     | THE
1995-1826-0004.wav             | 1.5943     | MIGHT
1995-1836-0000.wav             | 1.8909     | THE
1995-1826-0008.wav             | 1.6128     | SOME
1995-1836-0013.wav             | 2.1028     | MARY TA
1995-1826-0003.wav             | 1.8817     | BETTER
1995-1826-0015.wav             | 1.4754     | SHE
7021-85628-0010.wav            | 4.5815     | ON
1995-1826-0021.wav             | 1.7133     | DON
1995-1826-0005.wav             | 1.9121     | BUT
1995-1826-0002.wav             | 1.3931     | JOHN
1995-1836-0014.wav             | 2.1135     | FORTUN
3570-5696-0008.wav             | 1.2427     | BUT IT
3570-5694-0010.wav             | 1.0376     | THE
1995-1826-0007.wav             | 1.9780     | FIND
3570-5696-0002.wav             | 1.4157     | OTHER
1995-1826-0019.wav             | 1.5695     | COTT
1995-1826-0026.wav             | 1.9136     | NOW
3570-5696-0000.wav             | 1.5654     | UNDER
1995-1826-0001.wav             | 2.1258     | THE SO
3570-5696-0004.wav             | 1.6499     | THE
1995-1826-0020.wav             | 1.8875     | MISS TA
3570-5694-0011.wav             | 1.1654     | THE CU
1995-1826-0006.wav             | 1.7633     | BEEN
1995-1826-0018.wav             | 1.9110     | HER RE
3570-5696-0001.wav             | 1.6434     | BUT
1995-1826-0014.wav             | 2.1740     | CO
3570-5694-0019.wav             | 1.4170     | BUT
3570-5694-0014.wav             | 1.0573     | MAN
3570-5696-0009.wav             | 1.7929     | IN STRIC
1995-1826-0011.wav             | 1.9128     | HERE
1995-1826-0023.wav             | 2.4568     | GOOGLES
1995-1826-0025.wav             | 2.4748     | SOME
3570-5696-0007.wav             | 1.6559     | THE US
3570-5695-0008.wav             | 1.1243     | THE
3570-5696-0006.wav             | 1.9848     | AS
3570-5696-0010.wav             | 1.6920     | AN ARTICLE
3570-5694-0012.wav             | 1.6689     | THERE IS
3570-5694-0013.wav             | 1.6601     | THIS DIFF
3570-5695-0002.wav             | 1.0724     | BUT
1995-1826-0017.wav             | 2.3603     | THERE MIGHT
3570-5694-0007.wav             | 1.4263     | IT
3570-5694-0017.wav             | 1.6127     | THE
3570-5694-0005.wav             | 1.7166     | UNDER
3570-5694-0018.wav             | 1.5383     | THE
3570-5694-0001.wav             | 1.5539     | THE
3570-5694-0016.wav             | 1.5974     | MAN
3570-5694-0000.wav             | 1.7062     | BUT A
3570-5694-0006.wav             | 1.8021     | DRUN
3570-5694-0008.wav             | 1.4457     | THE CON
3570-5696-0005.wav             | 2.0127     | THROUGHOUT
3570-5695-0003.wav             | 1.1405     | IN
3570-5695-0010.wav             | 1.4613     | THE
3570-5695-0007.wav             | 1.2549     | THERE
3570-5694-0020.wav             | 2.0980     | SO
3570-5695-0011.wav             | 1.5071     | IT
3570-5696-0003.wav             | 2.4631     | A RECON
3570-5694-0002.wav             | 1.6552     | SUCH
5639-40744-0009.wav            | 1.1964     | MOTHER
3570-5694-0003.wav             | 2.1472     | WITH
3570-5694-0015.wav             | 1.7279     | SO MAN
3570-5694-0004.wav             | 1.7855     | IN THE
3570-5695-0013.wav             | 1.5323     | CONSUM
3570-5695-0015.wav             | 1.5351     | THE
3570-5695-0012.wav             | 1.5786     | IT
5639-40744-0028.wav            | 1.2116     | I
3570-5695-0001.wav             | 1.4880     | THE
7021-79759-0003.wav            | 5.9638     | VAST
3570-5694-0022.wav             | 2.0212     | THE LI
3570-5694-0021.wav             | 1.9249     | WHENEVER
3570-5695-0000.wav             | 1.5447     | IN A GEN
3570-5695-0004.wav             | 1.5326     | IF
5639-40744-0036.wav            | 1.1137     | HIS
5639-40744-0017.wav            | 1.5061     | CHOK
3570-5695-0009.wav             | 1.7087     | EACH
5639-40744-0032.wav            | 1.1336     | FOR
3570-5695-0014.wav             | 1.6594     | AMONG
3570-5694-0009.wav             | 2.1277     | WITH
5639-40744-0033.wav            | 1.4012     | HER
5639-40744-0016.wav            | 1.4472     | ON THE CON
3570-5695-0005.wav             | 1.7575     | THE MAN
5639-40744-0040.wav            | 1.2530     | THIS
7021-85628-0018.wav            | 6.3168     | AND IT
5639-40744-0002.wav            | 1.3555     | RU
5639-40744-0005.wav            | 1.7450     | FINALLY
5639-40744-0004.wav            | 1.5802     | THEY
5639-40744-0010.wav            | 0.9403     | IT IS
5639-40744-0011.wav            | 1.1645     | SHE
7176-88083-0021.wav            | 0.9680     | BUT
5639-40744-0021.wav            | 1.7488     | SHE MEAN
5639-40744-0001.wav            | 1.7164     | SE
5639-40744-0018.wav            | 1.8513     | THAT WOULD
5639-40744-0035.wav            | 1.3360     | SHE
5639-40744-0012.wav            | 1.3068     | SHE
5639-40744-0039.wav            | 1.3502     | WHEN
5639-40744-0015.wav            | 1.6455     | THIS
5639-40744-0029.wav            | 1.4852     | THIS
5639-40744-0030.wav            | 1.7721     | JUST
3570-5695-0006.wav             | 2.2030     | VERY MUCH
5639-40744-0003.wav            | 1.8177     | IN
5639-40744-0041.wav            | 1.6952     | NOR
5639-40744-0034.wav            | 2.1844     | ALL
5639-40744-0024.wav            | 1.7704     | ONE
5639-40744-0013.wav            | 1.4705     | SHE
7176-88083-0018.wav            | 1.2252     | BUT
5639-40744-0031.wav            | 1.5481     | SO
7176-88083-0009.wav            | 1.4903     | THE
7176-88083-0019.wav            | 1.3117     | AS
7176-88083-0011.wav            | 1.3383     | IN
5639-40744-0019.wav            | 1.8251     | WHAT
7176-88083-0013.wav            | 1.3627     | LIKE
5639-40744-0037.wav            | 1.7728     | KNOW THEN
5639-40744-0014.wav            | 1.7896     | AMONG
5639-40744-0000.wav            | 2.2309     | ELEVEN O
5639-40744-0022.wav            | 1.8144     | TIME
7176-88083-0017.wav            | 0.9004     | BUT
7176-88083-0023.wav            | 1.2609     | HE HAD
7176-88083-0006.wav            | 1.1402     | AND
7176-88083-0003.wav            | 1.3339     | BUT
7176-88083-0010.wav            | 1.4157     | THE
5639-40744-0026.wav            | 1.8974     | LOU
7176-88083-0012.wav            | 1.4872     | THE
5639-40744-0023.wav            | 1.8484     | WHEN
7176-88083-0007.wav            | 1.2712     | BUT
5639-40744-0006.wav            | 2.2655     | RODOLP
5639-40744-0020.wav            | 2.4012     | THUS
7176-88083-0008.wav            | 1.9584     | IN DESPA
7176-88083-0025.wav            | 1.3943     | AT THE
7176-88083-0002.wav            | 1.6962     | HIS
7176-88083-0014.wav            | 1.7695     | THE
5639-40744-0025.wav            | 2.3637     | THE
5639-40744-0008.wav            | 2.1054     | WHO TOUCH
5639-40744-0038.wav            | 2.5404     | JUST
7176-92135-0033.wav            | 1.2529     | RELA
7176-92135-0000.wav            | 1.2395     | HE IS
7176-88083-0027.wav            | 1.6384     | THAN THE
7176-88083-0016.wav            | 1.3965     | STRAIGHT
7176-88083-0026.wav            | 1.9234     | THE DRA
5639-40744-0007.wav            | 2.7527     | MEAN
7176-92135-0040.wav            | 1.3809     | HOSTES
7176-92135-0018.wav            | 1.2344     | IN
7176-92135-0009.wav            | 0.9991     | AND
7176-88083-0000.wav            | 1.8304     | ALL
7176-88083-0005.wav            | 2.1608     | ONCE
7176-88083-0015.wav            | 1.7285     | ALMOST IN
7176-88083-0004.wav            | 1.8262     | BUT
7176-92135-0010.wav            | 1.3674     | HIM
7176-88083-0001.wav            | 2.0356     | THE MERG
7176-92135-0004.wav            | 1.0678     | FRANK
7176-92135-0005.wav            | 1.5861     | BUT
7176-88083-0020.wav            | 2.1432     | WHERE THE
7176-92135-0019.wav            | 0.9182     | I
7176-92135-0034.wav            | 1.5804     | THE
7176-92135-0021.wav            | 1.4976     | I SAY I
7176-92135-0006.wav            | 0.9838     | I'VE
7176-92135-0011.wav            | 1.1004     | NOW
7176-92135-0007.wav            | 1.6193     | ANYHOW
7176-92135-0042.wav            | 1.3760     | IN NOVEL
7176-92135-0044.wav            | 1.0547     | BUT
7176-92135-0012.wav            | 1.0510     | IN
5639-40744-0027.wav            | 2.9421     | THUS SAYING
7176-92135-0025.wav            | 1.6892     | IT IS
7176-92135-0031.wav            | 1.6462     | AND
7176-92135-0023.wav            | 1.1315     | YOU GAVE
7176-92135-0028.wav            | 1.9843     | LARKS
7176-88083-0022.wav            | 2.0580     | THE
7176-92135-0024.wav            | 1.9221     | TO
7176-92135-0013.wav            | 1.0949     | WE
7176-92135-0043.wav            | 1.5341     | TWO
7176-92135-0037.wav            | 1.7322     | THEN IS
7176-92135-0022.wav            | 1.6414     | TO BE
7176-88083-0024.wav            | 2.7715     | THE
7176-92135-0020.wav            | 1.8310     | DOUBLE
7176-92135-0016.wav            | 1.4426     | THIS WOULD
7176-92135-0027.wav            | 2.0849     | LADY LAR
7176-92135-0029.wav            | 2.0938     | I
7176-92135-0008.wav            | 1.5809     | LEND ME YOUR
7729-102255-0016.wav           | 1.1451     | THE
7176-92135-0035.wav            | 2.1043     | THEN
7176-92135-0003.wav            | 1.7003     | YOUR PLAY
7176-92135-0038.wav            | 1.4790     | A
7729-102255-0043.wav           | 1.3867     | IN A
7176-92135-0014.wav            | 1.6673     | IF IT
7176-92135-0039.wav            | 1.6840     | TEA
7176-92135-0036.wav            | 1.9298     | THE
7729-102255-0005.wav           | 1.0426     | THIS
7176-92135-0015.wav            | 1.8291     | AND SO
7176-92135-0045.wav            | 1.5591     | LORD
7176-92135-0041.wav            | 1.5820     | RE
7729-102255-0021.wav           | 1.4891     | BUT
7176-92135-0001.wav            | 2.5118     | IN SHORT
7176-92135-0002.wav            | 2.1405     | BUT EVEN
7729-102255-0013.wav           | 1.2164     | IT
7729-102255-0032.wav           | 1.2607     | THE
7729-102255-0031.wav           | 1.1721     | HE
7729-102255-0034.wav           | 1.3104     | TO
7729-102255-0010.wav           | 1.4231     | OF THE
7729-102255-0003.wav           | 1.4714     | FOR
7729-102255-0030.wav           | 1.6821     | HE SU
7176-92135-0017.wav            | 2.1216     | IN THE
7176-92135-0032.wav            | 2.2130     | HOW YOU
7729-102255-0045.wav           | 1.8103     | CA
7729-102255-0020.wav           | 1.5573     | THE INCI
7729-102255-0007.wav           | 1.7527     | HIS
7176-92135-0026.wav            | 2.7927     | ENTER HAMLET
