nohup: ignoring input
------------------------------------------------------------
初始化并发系统 (Workers=47)...
Loading NLP Model: oliverguhr/fullstop-punctuation-multilang-large ...
Device set to use cuda:0
模型加载完成。
------------------------------------------------------------
找到 2620 个音频文件。
开始并行处理...
文件名                                      | 音频时长(s)      | 完整生成耗时(s)       | 实时率(RTF)  
------------------------------------------------------------------------------------------
7021-85628-0017.wav                      | 2.15         | 1.9983          | 0.9273    
7021-85628-0014.wav                      | 2.29         | 2.3338          | 1.0169    
7021-85628-0025.wav                      | 2.77         | 2.8303          | 1.0199    
7021-79759-0001.wav                      | 2.48         | 2.9465          | 1.1881    
7021-79740-0012.wav                      | 3.26         | 3.5911          | 1.1016    
7021-85628-0019.wav                      | 3.25         | 4.0357          | 1.2398    
7021-85628-0024.wav                      | 2.17         | 4.4258          | 2.0443    
7021-85628-0006.wav                      | 3.58         | 5.3140          | 1.4844    
7021-79740-0009.wav                      | 3.63         | 5.3517          | 1.4723    
7021-85628-0004.wav                      | 2.81         | 5.5887          | 1.9924    
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
7021-79759-0000.wav                      | 4.78         | 5.7934          | 1.2133    
7021-79740-0005.wav                      | 2.11         | 6.4178          | 3.0416    
7021-85628-0012.wav                      | 5.33         | 6.3923          | 1.1993    
7021-79759-0002.wav                      | 5.25         | 6.3180          | 1.2034    
7021-85628-0020.wav                      | 6.45         | 6.7295          | 1.0433    
7021-79740-0004.wav                      | 6.46         | 7.2150          | 1.1160    
7021-79740-0007.wav                      | 6.99         | 7.6793          | 1.0986    
7021-85628-0022.wav                      | 5.14         | 7.9000          | 1.5355    
7021-79740-0006.wav                      | 5.96         | 8.2528          | 1.3835    
7021-79730-0002.wav                      | 2.69         | 3.8958          | 1.4482    
7021-85628-0000.wav                      | 3.02         | 8.3928          | 2.7791    
7021-79759-0003.wav                      | 4.62         | 6.4414          | 1.3942    
7021-79740-0003.wav                      | 4.99         | 8.5663          | 1.7184    
7021-79730-0000.wav                      | 2.44         | 2.9443          | 1.2067    
7021-79740-0013.wav                      | 7.37         | 8.9512          | 1.2154    
7021-85628-0008.wav                      | 7.12         | 9.2021          | 1.2915    
7021-85628-0005.wav                      | 5.01         | 9.3414          | 1.8627    
7021-85628-0026.wav                      | 2.74         | 9.4189          | 3.4376    
7021-85628-0016.wav                      | 4.28         | 9.4581          | 2.2098    
7021-79740-0001.wav                      | 6.00         | 9.5569          | 1.5941    
7021-85628-0021.wav                      | 5.37         | 9.5078          | 1.7722    
7021-85628-0010.wav                      | 8.02         | 9.6766          | 1.2073    
1995-1837-0022.wav                       | 3.42         | 2.6869          | 0.7868    
1995-1837-0009.wav                       | 3.76         | 3.8539          | 1.0250    
7021-85628-0018.wav                      | 8.22         | 10.1666         | 1.2368    
7021-85628-0002.wav                      | 6.46         | 10.4469         | 1.6184    
1995-1837-0010.wav                       | 3.48         | 2.8019          | 0.8051    
1995-1837-0028.wav                       | 2.34         | 1.9407          | 0.8293    
1995-1837-0006.wav                       | 2.96         | 2.3608          | 0.7989    
7021-85628-0023.wav                      | 9.03         | 10.5258         | 1.1656    
7021-85628-0027.wav                      | 8.50         | 10.9102         | 1.2835    
1995-1837-0011.wav                       | 3.38         | 2.6412          | 0.7826    
1995-1837-0013.wav                       | 3.19         | 2.4875          | 0.7786    
7021-85628-0009.wav                      | 8.54         | 11.0412         | 1.2929    
7021-85628-0011.wav                      | 8.99         | 11.0579         | 1.2293    
7021-79740-0000.wav                      | 11.12        | 11.2264         | 1.0091    
1995-1837-0002.wav                       | 2.79         | 2.1302          | 0.7635    
1995-1837-0005.wav                       | 2.63         | 2.0310          | 0.7708    
1995-1837-0008.wav                       | 1.96         | 1.2277          | 0.6280    
1995-1837-0019.wav                       | 5.38         | 5.2319          | 0.9725    
7021-79730-0005.wav                      | 8.01         | 8.4974          | 1.0608    
1995-1837-0015.wav                       | 4.49         | 3.4653          | 0.7727    
7021-79740-0011.wav                      | 10.31        | 12.6733         | 1.2286    
1995-1837-0020.wav                       | 3.21         | 2.3009          | 0.7168    
1995-1837-0017.wav                       | 3.10         | 2.5239          | 0.8142    
1995-1836-0002.wav                       | 2.31         | 1.9553          | 0.8446    
1995-1837-0000.wav                       | 3.87         | 2.8543          | 0.7385    
7021-85628-0015.wav                      | 11.54        | 13.2974         | 1.1518    
1995-1837-0027.wav                       | 6.71         | 5.4321          | 0.8102    
1995-1837-0021.wav                       | 3.09         | 2.4117          | 0.7805    
7021-85628-0001.wav                      | 11.33        | 13.7747         | 1.2158    
7021-79740-0002.wav                      | 9.22         | 13.9423         | 1.5114    
1995-1837-0024.wav                       | 5.38         | 4.4907          | 0.8339    
7021-79730-0006.wav                      | 11.34        | 11.2803         | 0.9947    
7021-79740-0010.wav                      | 12.03        | 14.5322         | 1.2085    
1995-1837-0003.wav                       | 7.36         | 6.1314          | 0.8331    
7021-85628-0003.wav                      | 15.29        | 14.6835         | 0.9603    
1995-1837-0029.wav                       | 5.58         | 4.4187          | 0.7919    
1995-1837-0004.wav                       | 6.36         | 5.3378          | 0.8393    
7021-85628-0013.wav                      | 12.13        | 14.9782         | 1.2348    
1995-1837-0016.wav                       | 7.19         | 5.7602          | 0.8011    
7021-79730-0007.wav                      | 12.46        | 11.1497         | 0.8952    
