nohup: ignoring input
------------------------------------------------------------------------------------------
TTFT 压力测试初始化 (并发数 Workers=1)...
Device set to use cuda:0
/project/sherpa-onnx/csrc/session.cc:GetSessionOptionsImpl:181 Please compile with -DSHERPA_ONNX_ENABLE_GPU=ON. Available providers: CPUExecutionProvider, . Fallback to cpu!
模型加载完成。
待处理文件数: 2620
算法逻辑: TTFT = max(音频传输耗时, 系统当前时刻) + 解码耗时 + NLP耗时
------------------------------------------------------------------------------------------
文件名                                      | TTFT(s)    | 首字内容 (前30字符)
------------------------------------------------------------------------------------------
7021-79740-0014.wav                      | 1.2867     | and.
7021-79740-0004.wav                      | 0.8439     | you.
7021-79740-0009.wav                      | 0.8435     | they.
7021-79740-0000.wav                      | 0.8445     | to.
7021-79740-0007.wav                      | 1.1437     | then,
7021-79740-0006.wav                      | 1.1433     | i.
7021-79740-0008.wav                      | 1.1432     | for.
7021-79740-0013.wav                      | 0.8435     | put.
7021-79740-0011.wav                      | 1.4442     | so.
7021-79740-0012.wav                      | 0.8455     | said:
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
7021-79740-0005.wav                      | 1.1440     | i.
7021-79740-0001.wav                      | 1.1437     | dell.
7021-79740-0010.wav                      | 1.1450     | deli.
7021-79740-0003.wav                      | 0.8434     | to.
7021-79740-0002.wav                      | 1.1441     | now.
7021-85628-0003.wav                      | 1.4433     | now.
7021-85628-0006.wav                      | 1.1438     | i am.
7021-85628-0015.wav                      | 1.1432     | well.
7021-85628-0019.wav                      | 1.1432     | with.
7021-85628-0001.wav                      | 1.1441     | he.
7021-85628-0000.wav                      | 1.1443     | but,
7021-85628-0013.wav                      | 0.8440     | the.
7021-85628-0026.wav                      | 1.4437     | no, my.
7021-85628-0008.wav                      | 1.4441     | for.
7021-85628-0002.wav                      | 1.1434     | he.
7021-85628-0017.wav                      | 1.1445     | so.
7021-85628-0016.wav                      | 1.4435     | that.
7021-85628-0024.wav                      | 1.1435     | anders.
7021-85628-0022.wav                      | 1.1446     | and.
7021-85628-0005.wav                      | 1.1449     | seeing.
7021-85628-0009.wav                      | 0.8432     | at.
7021-85628-0004.wav                      | 1.1434     | ye.
7021-85628-0027.wav                      | 0.8434     | if.
7021-85628-0007.wav                      | 1.4439     | and she.
7021-85628-0011.wav                      | 0.8434     | the.
7021-85628-0021.wav                      | 1.1433     | he.
7021-85628-0010.wav                      | 1.1430     | on.
7021-85628-0020.wav                      | 1.1433     | he dar.
7021-85628-0014.wav                      | 1.1435     | he.
7021-85628-0018.wav                      | 1.1447     | and it.
7021-85628-0012.wav                      | 0.8447     | but,
7021-85628-0023.wav                      | 0.8433     | but,
7021-85628-0025.wav                      | 1.1437     | but,
7021-79759-0001.wav                      | 1.1448     | that.
7021-79759-0002.wav                      | 1.1437     | they are.
7021-79759-0004.wav                      | 1.1432     | without.
7021-79759-0000.wav                      | 1.1435     | na.
7021-79759-0003.wav                      | 1.4443     | vast.
7021-79759-0005.wav                      | 1.1433     | the.
7021-79730-0006.wav                      | 1.1469     | the.
7021-79730-0004.wav                      | 0.8444     | the.
7021-79730-0005.wav                      | 0.8437     | so.
7021-79730-0007.wav                      | 1.1434     | if.
7021-79730-0002.wav                      | 1.1451     | by.
7021-79730-0003.wav                      | 0.8445     | as.
7021-79730-0001.wav                      | 0.8436     | to.
7021-79730-0000.wav                      | 0.8437     | the.
7021-79730-0009.wav                      | 0.8439     | it.
7021-79730-0008.wav                      | 0.8442     | but,
1995-1837-0009.wav                       | 0.8433     | the.
1995-1837-0019.wav                       | 0.8436     | he.
1995-1837-0023.wav                       | 1.3144     | the ne.
1995-1837-0022.wav                       | 0.8436     | up.
1995-1837-0010.wav                       | 0.8441     | perhaps.
1995-1837-0027.wav                       | 1.1437     | on.
