nohup: ignoring input
------------------------------------------------------------
正在初始化 AI 引擎 (ASR + NLP)...
正在加载标点模型: oliverguhr/fullstop-punctuation-multilang-large ...
Device set to use cuda:0
所有模型加载完成。
------------------------------------------------------------
开始遍历数据集: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean
文件名                                      | 音频时长(s)      | 完整生成耗时(s)       | 实时率(RTF)  
------------------------------------------------------------------------------------------
7021-79740-0014.wav                      | 14.18        | 1.9575          | 0.1381    
7021-79740-0004.wav                      | 6.46         | 0.6481          | 0.1002    
7021-79740-0009.wav                      | 3.63         | 0.3923          | 0.1079    
7021-79740-0000.wav                      | 11.12        | 1.1584          | 0.1041    
7021-79740-0007.wav                      | 6.99         | 0.7052          | 0.1009    
7021-79740-0006.wav                      | 5.96         | 0.6105          | 0.1024    
7021-79740-0008.wav                      | 18.41        | 1.8947          | 0.1029    
7021-79740-0013.wav                      | 7.37         | 0.7415          | 0.1007    
7021-79740-0011.wav                      | 10.31        | 1.0538          | 0.1022    
7021-79740-0012.wav                      | 3.26         | 0.3082          | 0.0945    
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
7021-79740-0005.wav                      | 2.11         | 0.2229          | 0.1056    
7021-79740-0001.wav                      | 6.00         | 0.6293          | 0.1050    
7021-79740-0010.wav                      | 12.03        | 1.3100          | 0.1089    
7021-79740-0003.wav                      | 4.99         | 0.5104          | 0.1024    
7021-79740-0002.wav                      | 9.22         | 0.9523          | 0.1032    
7021-85628-0003.wav                      | 15.29        | 1.5958          | 0.1044    
7021-85628-0006.wav                      | 3.58         | 0.3518          | 0.0983    
7021-85628-0015.wav                      | 11.54        | 1.1772          | 0.1020    
7021-85628-0019.wav                      | 3.25         | 0.3208          | 0.0986    
7021-85628-0001.wav                      | 11.33        | 1.1918          | 0.1052    
7021-85628-0000.wav                      | 3.02         | 0.3185          | 0.1055    
7021-85628-0013.wav                      | 12.13        | 1.2697          | 0.1047    
7021-85628-0026.wav                      | 2.74         | 0.2845          | 0.1038    
7021-85628-0008.wav                      | 7.12         | 0.7411          | 0.1040    
7021-85628-0002.wav                      | 6.46         | 0.6741          | 0.1044    
7021-85628-0017.wav                      | 2.15         | 0.2119          | 0.0983    
7021-85628-0016.wav                      | 4.28         | 0.4374          | 0.1022    
7021-85628-0024.wav                      | 2.17         | 0.2127          | 0.0982    
7021-85628-0022.wav                      | 5.14         | 0.5099          | 0.0991    
7021-85628-0005.wav                      | 5.01         | 0.5132          | 0.1023    
7021-85628-0009.wav                      | 8.54         | 0.8847          | 0.1036    
7021-85628-0004.wav                      | 2.81         | 0.2801          | 0.0999    
7021-85628-0027.wav                      | 8.50         | 0.9350          | 0.1100    
7021-85628-0007.wav                      | 16.68        | 1.7608          | 0.1056    
7021-85628-0011.wav                      | 8.99         | 0.9016          | 0.1002    
7021-85628-0021.wav                      | 5.37         | 0.5400          | 0.1006    
7021-85628-0010.wav                      | 8.02         | 0.8280          | 0.1033    
7021-85628-0020.wav                      | 6.45         | 0.6684          | 0.1036    
7021-85628-0014.wav                      | 2.29         | 0.2159          | 0.0941    
7021-85628-0018.wav                      | 8.22         | 0.8876          | 0.1080    
7021-85628-0012.wav                      | 5.33         | 0.5705          | 0.1070    
7021-85628-0023.wav                      | 9.03         | 0.9554          | 0.1058    
7021-85628-0025.wav                      | 2.77         | 0.2796          | 0.1007    
7021-79759-0001.wav                      | 2.48         | 0.2599          | 0.1048    
7021-79759-0002.wav                      | 5.25         | 0.5515          | 0.1051    
7021-79759-0004.wav                      | 24.47        | 2.5544          | 0.1044    
7021-79759-0000.wav                      | 4.78         | 0.4789          | 0.1003    
7021-79759-0003.wav                      | 4.62         | 0.4870          | 0.1054    
7021-79759-0005.wav                      | 13.02        | 1.3833          | 0.1062    
