nohup: ignoring input
----------------------------------------------------------------------
Sherpa-onnx 并行 TTFT 测试
并发数 (Threads): 49
计算公式: TTFT = (Chunks * 0.1s) + Parse_Time
模型加载完成。
----------------------------------------------------------------------
正在扫描文件列表: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean ...
共找到 2620 个音频文件。开始并行处理...
文件名                                      | 分片数    | 计算耗时(s)      | TTFT(s)   
---------------------------------------------------------------------------
7021-85628-0020.wav                      | 11     | 0.2092       | 1.3092    
7021-79740-0009.wav                      | 8      | 0.7051       | 1.5051    
7021-85628-0021.wav                      | 11     | 0.2298       | 1.3298    
7021-79740-0014.wav                      | 8      | 0.5108       | 1.3108    
7021-79740-0008.wav                      | 11     | 0.2694       | 1.3694    
7021-79759-0003.wav                      | 14     | 0.3691       | 1.7691    
7021-85628-0000.wav                      | 11     | 0.3406       | 1.4406    
7021-85628-0024.wav                      | 11     | 0.3487       | 1.4487    
7021-79740-0010.wav                      | 11     | 0.4821       | 1.5821    
7021-85628-0023.wav                      | 8      | 0.3126       | 1.1126    
7021-85628-0027.wav                      | 8      | 0.3373       | 1.1373    
7021-79730-0005.wav                      | 8      | 0.3015       | 1.1015    
7021-79730-0006.wav                      | 11     | 0.2351       | 1.3351    
7021-79730-0004.wav                      | 8      | 0.2594       | 1.0594    
7021-79740-0001.wav                      | 11     | 0.2276       | 1.3276    
7021-79730-0007.wav                      | 11     | 0.2012       | 1.3012    
7021-85628-0007.wav                      | 14     | 0.3096       | 1.7096    
7021-79730-0001.wav                      | 8      | 0.3385       | 1.1385    
7021-85628-0017.wav                      | 11     | 0.1962       | 1.2962    
7021-79730-0002.wav                      | 11     | 0.2110       | 1.3110    
7021-85628-0016.wav                      | 14     | 0.2754       | 1.6754    
7021-79740-0006.wav                      | 11     | 0.2124       | 1.3124    
1995-1837-0019.wav                       | 8      | 0.2733       | 1.0733    
7021-79730-0009.wav                      | 8      | 0.2899       | 1.0899    
7021-85628-0001.wav                      | 11     | 0.2883       | 1.3883    
7021-85628-0012.wav                      | 8      | 0.3611       | 1.1611    
7021-79730-0003.wav                      | 8      | 0.2575       | 1.0575    
7021-79730-0008.wav                      | 8      | 0.3417       | 1.1417    
7021-85628-0004.wav                      | 11     | 0.4981       | 1.5981    
1995-1837-0011.wav                       | 8      | 0.1616       | 0.9616    
1995-1837-0009.wav                       | 8      | 0.4250       | 1.2250    
1995-1837-0025.wav                       | 8      | 0.2697       | 1.0697    
1995-1837-0015.wav                       | 8      | 0.2338       | 1.0338    
1995-1837-0010.wav                       | 8      | 0.2791       | 1.0791    
7021-79730-0000.wav                      | 8      | 0.5506       | 1.3506    
1995-1837-0005.wav                       | 5      | 0.2745       | 0.7745    
1995-1837-0006.wav                       | 8      | 0.4372       | 1.2372    
7021-79740-0003.wav                      | 8      | 0.3176       | 1.1176    
1995-1837-0013.wav                       | 8      | 0.4151       | 1.2151    
1995-1837-0004.wav                       | 8      | 0.2663       | 1.0663    
1995-1837-0023.wav                       | 11     | 0.3231       | 1.4231    
1995-1837-0022.wav                       | 8      | 0.3942       | 1.1942    
1995-1837-0016.wav                       | 8      | 0.3895       | 1.1895    
1995-1837-0029.wav                       | 8      | 0.2719       | 1.0719    
1995-1837-0028.wav                       | 8      | 0.3110       | 1.1110    
1995-1837-0003.wav                       | 11     | 0.3898       | 1.4898    
1995-1837-0000.wav                       | 8      | 0.2715       | 1.0715    
1995-1837-0027.wav                       | 11     | 0.2767       | 1.3767    
1995-1837-0026.wav                       | 8      | 0.2024       | 1.0024    
1995-1837-0017.wav                       | 8      | 0.1597       | 0.9597    
1995-1837-0007.wav                       | 11     | 0.2300       | 1.3300    
1995-1837-0002.wav                       | 11     | 0.2625       | 1.3625    
1995-1837-0001.wav                       | 8      | 0.1805       | 0.9805    
7021-85628-0002.wav                      | 11     | 0.2069       | 1.3069    
7021-79740-0011.wav                      | 14     | 0.1841       | 1.5841    
1995-1837-0021.wav                       | 8      | 0.2022       | 1.0022    
1995-1837-0018.wav                       | 8      | 0.2196       | 1.0196    
7021-79740-0004.wav                      | 8      | 0.1715       | 0.9715    
1995-1837-0008.wav                       | 8      | 0.1950       | 0.9950    
7021-79740-0007.wav                      | 11     | 0.2049       | 1.3049    
7021-79759-0001.wav                      | 11     | 0.2176       | 1.3176    
1995-1837-0014.wav                       | 8      | 0.2511       | 1.0511    
7021-85628-0006.wav                      | 11     | 0.1645       | 1.2645    
7021-79759-0000.wav                      | 11     | 0.2202       | 1.3202    
1995-1837-0020.wav                       | 11     | 0.2238       | 1.3238    
7021-79740-0012.wav                      | 8      | 0.2457       | 1.0457    
1995-1837-0024.wav                       | 11     | 0.2414       | 1.3414    
1995-1836-0006.wav                       | 8      | 0.2300       | 1.0300    
1995-1836-0002.wav                       | 8      | 0.2623       | 1.0623    
7021-79740-0002.wav                      | 11     | 0.2534       | 1.3534    
7021-79740-0000.wav                      | 8      | 0.2536       | 1.0536    
1995-1836-0009.wav                       | 8      | 0.1790       | 0.9790    
1995-1837-0012.wav                       | 11     | 0.2193       | 1.3193    
1995-1836-0005.wav                       | 8      | 0.2404       | 1.0404    
1995-1836-0010.wav                       | 8      | 0.1860       | 0.9860    
1995-1836-0003.wav                       | 8      | 0.2232       | 1.0232    
1995-1836-0008.wav                       | 11     | 0.1823       | 1.2823    
7021-79759-0005.wav                      | 11     | 0.1894       | 1.2894    
7021-79740-0005.wav                      | 11     | 0.1945       | 1.2945    
7021-85628-0009.wav                      | 8      | 0.2061       | 1.0061    
1995-1836-0000.wav                       | 11     | 0.1575       | 1.2575    
7021-85628-0018.wav                      | 11     | 0.1483       | 1.2483    
1995-1836-0004.wav                       | 11     | 0.1556       | 1.2556    
1995-1836-0014.wav                       | 11     | 0.1978       | 1.2978    
1995-1826-0022.wav                       | 8      | 0.2231       | 1.0231    
7021-85628-0025.wav                      | 11     | 0.1852       | 1.2852    
1995-1836-0012.wav                       | 11     | 0.1757       | 1.2757    
1995-1826-0013.wav                       | 8      | 0.1843       | 0.9843    
1995-1836-0011.wav                       | 11     | 0.2175       | 1.3175    
1995-1836-0001.wav                       | 11     | 0.1921       | 1.2921    
1995-1836-0007.wav                       | 11     | 0.2053       | 1.3053    
1995-1826-0010.wav                       | 8      | 0.2121       | 1.0121    
1995-1826-0016.wav                       | 8      | 0.2061       | 1.0061    
1995-1826-0012.wav                       | 8      | 0.2445       | 1.0445    
1995-1826-0000.wav                       | 8      | 0.2466       | 1.0466    
1995-1826-0008.wav                       | 8      | 0.2456       | 1.0456    
1995-1836-0013.wav                       | 11     | 0.2970       | 1.3970    
1995-1826-0007.wav                       | 11     | 0.1420       | 1.2420    
7021-85628-0014.wav                      | 11     | 0.2813       | 1.3813    
1995-1826-0009.wav                       | 11     | 0.2840       | 1.3840    
1995-1826-0003.wav                       | 11     | 0.2833       | 1.3833    
1995-1826-0004.wav                       | 11     | 0.2544       | 1.3544    
7021-85628-0008.wav                      | 14     | 0.2728       | 1.6728    
1995-1826-0014.wav                       | 11     | 0.2364       | 1.3364    
1995-1826-0015.wav                       | 8      | 0.2205       | 1.0205    
1995-1826-0005.wav                       | 11     | 0.3148       | 1.4148    
1995-1826-0026.wav                       | 11     | 0.2339       | 1.3339    
1995-1826-0001.wav                       | 11     | 0.3574       | 1.4574    
1995-1826-0018.wav                       | 11     | 0.1799       | 1.2799    
3570-5696-0000.wav                       | 8      | 0.2605       | 1.0605    
1995-1826-0006.wav                       | 11     | 0.2095       | 1.3095    
3570-5696-0002.wav                       | 8      | 0.2237       | 1.0237    
3570-5696-0008.wav                       | 8      | 0.2456       | 1.0456    
3570-5696-0004.wav                       | 8      | 0.2635       | 1.0635    
1995-1826-0020.wav                       | 11     | 0.3201       | 1.4201    
7021-85628-0010.wav                      | 11     | 0.2718       | 1.3718    
3570-5696-0006.wav                       | 8      | 0.3162       | 1.1162    
3570-5694-0012.wav                       | 8      | 0.2087       | 1.0087    
1995-1826-0017.wav                       | 11     | 0.2628       | 1.3628    
1995-1826-0024.wav                       | 8      | 0.2766       | 1.0766    
1995-1826-0023.wav                       | 14     | 0.2544       | 1.6544    
3570-5694-0003.wav                       | 8      | 0.2536       | 1.0536    
1995-1826-0011.wav                       | 11     | 0.1694       | 1.2694    
3570-5696-0007.wav                       | 8      | 0.2792       | 1.0792    
1995-1826-0025.wav                       | 14     | 0.2741       | 1.6741    
1995-1826-0021.wav                       | 14     | 0.1542       | 1.5542    
3570-5694-0019.wav                       | 8      | 0.2449       | 1.0449    
7021-79740-0013.wav                      | 8      | 0.2807       | 1.0807    
3570-5694-0011.wav                       | 8      | 0.1542       | 0.9542    
3570-5696-0001.wav                       | 8      | 0.3329       | 1.1329    
3570-5694-0010.wav                       | 8      | 0.2554       | 1.0554    
1995-1826-0002.wav                       | 11     | 0.2524       | 1.3524    
1995-1826-0019.wav                       | 11     | 0.2268       | 1.3268    
3570-5696-0009.wav                       | 11     | 0.2735       | 1.3735    
3570-5694-0018.wav                       | 8      | 0.1912       | 0.9912    
7021-85628-0011.wav                      | 8      | 0.3691       | 1.1691    
3570-5696-0003.wav                       | 11     | 0.2685       | 1.3685    
3570-5696-0010.wav                       | 11     | 0.2704       | 1.3704    
7021-85628-0005.wav                      | 11     | 0.2747       | 1.3747    
7021-85628-0015.wav                      | 11     | 0.2522       | 1.3522    
3570-5694-0016.wav                       | 8      | 0.2736       | 1.0736    
7021-85628-0022.wav                      | 11     | 0.1558       | 1.2558    
3570-5696-0005.wav                       | 11     | 0.2767       | 1.3767    
3570-5694-0013.wav                       | 11     | 0.2601       | 1.3601    
3570-5694-0005.wav                       | 11     | 0.2845       | 1.3845    
3570-5695-0008.wav                       | 8      | 0.1841       | 0.9841    
3570-5694-0007.wav                       | 8      | 0.2583       | 1.0583    
3570-5694-0006.wav                       | 11     | 0.2280       | 1.3280    
3570-5694-0017.wav                       | 8      | 0.3041       | 1.1041    
3570-5695-0012.wav                       | 8      | 0.2296       | 1.0296    
3570-5694-0022.wav                       | 11     | 0.2061       | 1.3061    
3570-5695-0007.wav                       | 8      | 0.2148       | 1.0148    
3570-5694-0014.wav                       | 8      | 0.2218       | 1.0218    
3570-5694-0020.wav                       | 14     | 0.2000       | 1.6000    
3570-5695-0002.wav                       | 8      | 0.2066       | 1.0066    
7021-85628-0013.wav                      | 8      | 0.3183       | 1.1183    
3570-5695-0010.wav                       | 8      | 0.3266       | 1.1266    
3570-5694-0021.wav                       | 11     | 0.2901       | 1.3901    
3570-5694-0015.wav                       | 11     | 0.2428       | 1.3428    
3570-5695-0011.wav                       | 8      | 0.2879       | 1.0879    
7021-85628-0026.wav                      | 14     | 0.3780       | 1.7780    
3570-5695-0015.wav                       | 8      | 0.2588       | 1.0588    
5639-40744-0009.wav                      | 8      | 0.2265       | 1.0265    
3570-5694-0009.wav                       | 11     | 0.2406       | 1.3406    
