nohup: ignoring input
------------------------------------------------------------
Sherpa-onnx 并行 RTF 测试 (并发数: 48)
加载模型: encoder-epoch-99-avg-1.int8.onnx
模型加载完成。
------------------------------------------------------------
正在扫描文件列表: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean ...
共找到 2620 个音频文件。开始并行处理...
文件名                                      | 时长(s)    | 耗时(s)    | 实时率(RTF)
--------------------------------------------------------------------------------
7021-85628-0014.wav                      | 2.29     | 2.3178   | 1.0099  
7021-85628-0017.wav                      | 2.15     | 2.5910   | 1.2023  
7021-79740-0012.wav                      | 3.26     | 2.8157   | 0.8637  
7021-85628-0000.wav                      | 3.02     | 2.8431   | 0.9414  
7021-85628-0024.wav                      | 2.17     | 2.8855   | 1.3328  
7021-85628-0025.wav                      | 2.77     | 2.9508   | 1.0634  
7021-79740-0005.wav                      | 2.11     | 2.9789   | 1.4118  
7021-79759-0001.wav                      | 2.48     | 3.3102   | 1.3348  
7021-85628-0026.wav                      | 2.74     | 3.4323   | 1.2527  
7021-79740-0009.wav                      | 3.63     | 3.8308   | 1.0539  
7021-85628-0019.wav                      | 3.25     | 3.8560   | 1.1846  
7021-85628-0006.wav                      | 3.58     | 3.9346   | 1.0991  
7021-79759-0003.wav                      | 4.62     | 4.1459   | 0.8974  
7021-85628-0004.wav                      | 2.81     | 4.2060   | 1.4995  
7021-85628-0022.wav                      | 5.14     | 4.4428   | 0.8635  
7021-85628-0021.wav                      | 5.37     | 4.4604   | 0.8314  
7021-79759-0000.wav                      | 4.78     | 4.8081   | 1.0069  
7021-85628-0012.wav                      | 5.33     | 4.8600   | 0.9118  
7021-79740-0004.wav                      | 6.46     | 4.9864   | 0.7713  
7021-85628-0005.wav                      | 5.01     | 5.1162   | 1.0202  
7021-85628-0016.wav                      | 4.28     | 5.1305   | 1.1987  
7021-79730-0002.wav                      | 2.69     | 2.3420   | 0.8706  
7021-79740-0003.wav                      | 4.99     | 5.3155   | 1.0663  
7021-79740-0001.wav                      | 6.00     | 5.3219   | 0.8877  
7021-79730-0000.wav                      | 2.44     | 2.2046   | 0.9035  
7021-79759-0002.wav                      | 5.25     | 5.7598   | 1.0971  
7021-85628-0002.wav                      | 6.46     | 6.0142   | 0.9317  
7021-79740-0006.wav                      | 5.96     | 6.2220   | 1.0431  
7021-79740-0007.wav                      | 6.99     | 6.5605   | 0.9386  
7021-85628-0020.wav                      | 6.45     | 6.6517   | 1.0313  
1995-1837-0009.wav                       | 3.76     | 2.9085   | 0.7735  
7021-85628-0010.wav                      | 8.02     | 6.9054   | 0.8616  
1995-1837-0022.wav                       | 3.42     | 2.6989   | 0.7903  
1995-1837-0006.wav                       | 2.96     | 2.2675   | 0.7673  
7021-79740-0013.wav                      | 7.37     | 7.1890   | 0.9761  
1995-1837-0010.wav                       | 3.48     | 2.8119   | 0.8080  
1995-1837-0028.wav                       | 2.34     | 2.0264   | 0.8660  
7021-85628-0008.wav                      | 7.12     | 7.5020   | 1.0529  
1995-1837-0002.wav                       | 2.79     | 1.9301   | 0.6918  
7021-85628-0018.wav                      | 8.22     | 7.6109   | 0.9259  
7021-79740-0002.wav                      | 9.22     | 7.6792   | 0.8324  
1995-1837-0013.wav                       | 3.19     | 2.4992   | 0.7822  
1995-1837-0011.wav                       | 3.38     | 2.8461   | 0.8433  
7021-85628-0023.wav                      | 9.03     | 8.0854   | 0.8954  
7021-85628-0027.wav                      | 8.50     | 8.1215   | 0.9555  
7021-85628-0011.wav                      | 8.99     | 8.2885   | 0.9215  
1995-1837-0019.wav                       | 5.38     | 4.1597   | 0.7732  
7021-85628-0009.wav                      | 8.54     | 8.5781   | 1.0045  
1995-1837-0008.wav                       | 1.96     | 1.3333   | 0.6820  
1995-1837-0015.wav                       | 4.49     | 3.7216   | 0.8298  
7021-79730-0005.wav                      | 8.01     | 6.2315   | 0.7780  
