nohup: ignoring input
----------------------------------------------------------------------
Sherpa-onnx 并行 TTFT 测试
并发数 (Threads): 1
计算公式: TTFT = (Chunks * 0.1s) + Parse_Time
模型加载完成。
----------------------------------------------------------------------
正在扫描文件列表: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean ...
共找到 2620 个音频文件。开始并行处理...
文件名                                      | 分片数    | 计算耗时(s)      | TTFT(s)   
---------------------------------------------------------------------------
7021-79740-0014.wav                      | 8      | 0.0319       | 0.8319    
7021-79740-0004.wav                      | 8      | 0.0309       | 0.8309    
7021-79740-0009.wav                      | 8      | 0.0299       | 0.8299    
7021-79740-0000.wav                      | 8      | 0.0303       | 0.8303    
7021-79740-0007.wav                      | 11     | 0.0297       | 1.1297    
7021-79740-0006.wav                      | 11     | 0.0298       | 1.1298    
7021-79740-0008.wav                      | 11     | 0.0302       | 1.1302    
7021-79740-0013.wav                      | 8      | 0.0303       | 0.8303    
7021-79740-0011.wav                      | 14     | 0.0301       | 1.4301    
7021-79740-0012.wav                      | 8      | 0.0300       | 0.8300    
7021-79740-0005.wav                      | 11     | 0.0304       | 1.1304    
7021-79740-0001.wav                      | 11     | 0.0301       | 1.1301    
7021-79740-0010.wav                      | 11     | 0.0307       | 1.1307    
7021-79740-0003.wav                      | 8      | 0.0313       | 0.8313    
7021-79740-0002.wav                      | 11     | 0.0309       | 1.1309    
7021-85628-0003.wav                      | 14     | 0.0300       | 1.4300    
7021-85628-0006.wav                      | 11     | 0.0307       | 1.1307    
7021-85628-0015.wav                      | 11     | 0.0302       | 1.1302    
7021-85628-0019.wav                      | 11     | 0.0306       | 1.1306    
7021-85628-0001.wav                      | 11     | 0.0308       | 1.1308    
7021-85628-0000.wav                      | 11     | 0.0301       | 1.1301    
7021-85628-0013.wav                      | 8      | 0.0295       | 0.8295    
7021-85628-0026.wav                      | 14     | 0.0301       | 1.4301    
7021-85628-0008.wav                      | 14     | 0.0301       | 1.4301    
7021-85628-0002.wav                      | 11     | 0.0301       | 1.1301    
7021-85628-0017.wav                      | 11     | 0.0299       | 1.1299    
7021-85628-0016.wav                      | 14     | 0.0297       | 1.4297    
7021-85628-0024.wav                      | 11     | 0.0298       | 1.1298    
7021-85628-0022.wav                      | 11     | 0.0307       | 1.1307    
7021-85628-0005.wav                      | 11     | 0.0306       | 1.1306    
7021-85628-0009.wav                      | 8      | 0.0305       | 0.8305    
7021-85628-0004.wav                      | 11     | 0.0306       | 1.1306    
7021-85628-0027.wav                      | 8      | 0.0301       | 0.8301    
7021-85628-0007.wav                      | 14     | 0.0297       | 1.4297    
7021-85628-0011.wav                      | 8      | 0.0294       | 0.8294    
7021-85628-0021.wav                      | 11     | 0.0311       | 1.1311    
7021-85628-0010.wav                      | 11     | 0.0303       | 1.1303    
7021-85628-0020.wav                      | 11     | 0.0304       | 1.1304    
7021-85628-0014.wav                      | 11     | 0.0301       | 1.1301    
7021-85628-0018.wav                      | 11     | 0.0305       | 1.1305    
7021-85628-0012.wav                      | 8      | 0.0297       | 0.8297    
7021-85628-0023.wav                      | 8      | 0.0297       | 0.8297    
7021-85628-0025.wav                      | 11     | 0.0297       | 1.1297    
7021-79759-0001.wav                      | 11     | 0.0305       | 1.1305    
7021-79759-0002.wav                      | 11     | 0.0298       | 1.1298    
7021-79759-0004.wav                      | 11     | 0.0295       | 1.1295    
7021-79759-0000.wav                      | 11     | 0.0295       | 1.1295    
7021-79759-0003.wav                      | 14     | 0.0307       | 1.4307    
7021-79759-0005.wav                      | 11     | 0.0297       | 1.1297    
7021-79730-0006.wav                      | 11     | 0.0295       | 1.1295    
7021-79730-0004.wav                      | 8      | 0.0296       | 0.8296    
7021-79730-0005.wav                      | 8      | 0.0295       | 0.8295    
7021-79730-0007.wav                      | 11     | 0.0297       | 1.1297    
7021-79730-0002.wav                      | 11     | 0.0299       | 1.1299    
7021-79730-0003.wav                      | 8      | 0.0299       | 0.8299    
7021-79730-0001.wav                      | 8      | 0.0298       | 0.8298    
7021-79730-0000.wav                      | 8      | 0.0364       | 0.8364    
7021-79730-0009.wav                      | 8      | 0.0311       | 0.8311    
7021-79730-0008.wav                      | 8      | 0.0300       | 0.8300    
