nohup: ignoring input
--------------------------------------------------
正在初始化 Sherpa-onnx (RTF 性能测试)...
加载模型:
  Enc: encoder-epoch-99-avg-1.int8.onnx
  Dec: decoder-epoch-99-avg-1.onnx
  Join: joiner-epoch-99-avg-1.onnx
模型加载完成。
--------------------------------------------------
开始遍历数据集: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean
文件名                                      | 音频时长(s)    | 推理耗时(s)    | 实时率(RTF)  
--------------------------------------------------------------------------------
7021-79740-0014.wav                      | 14.18      | 1.3546     | 0.0956    
7021-79740-0004.wav                      | 6.46       | 0.5765     | 0.0892    
7021-79740-0009.wav                      | 3.63       | 0.3379     | 0.0930    
7021-79740-0000.wav                      | 11.12      | 1.0453     | 0.0940    
7021-79740-0007.wav                      | 6.99       | 0.6272     | 0.0897    
7021-79740-0006.wav                      | 5.96       | 0.5494     | 0.0921    
7021-79740-0008.wav                      | 18.41      | 1.7150     | 0.0931    
7021-79740-0013.wav                      | 7.37       | 0.6699     | 0.0910    
7021-79740-0011.wav                      | 10.31      | 0.9736     | 0.0944    
7021-79740-0012.wav                      | 3.26       | 0.2858     | 0.0877    
7021-79740-0005.wav                      | 2.11       | 0.1878     | 0.0890    
7021-79740-0001.wav                      | 6.00       | 0.5456     | 0.0910    
7021-79740-0010.wav                      | 12.03      | 1.1275     | 0.0938    
7021-79740-0003.wav                      | 4.99       | 0.4539     | 0.0911    
7021-79740-0002.wav                      | 9.22       | 0.8511     | 0.0923    
7021-85628-0003.wav                      | 15.29      | 1.4189     | 0.0928    
7021-85628-0006.wav                      | 3.58       | 0.3116     | 0.0870    
7021-85628-0015.wav                      | 11.54      | 1.0572     | 0.0916    
7021-85628-0019.wav                      | 3.25       | 0.2724     | 0.0837    
7021-85628-0001.wav                      | 11.33      | 1.0590     | 0.0935    
7021-85628-0000.wav                      | 3.02       | 0.2703     | 0.0895    
7021-85628-0013.wav                      | 12.13      | 1.1215     | 0.0925    
7021-85628-0026.wav                      | 2.74       | 0.2433     | 0.0888    
7021-85628-0008.wav                      | 7.12       | 0.6652     | 0.0934    
7021-85628-0002.wav                      | 6.46       | 0.5768     | 0.0894    
7021-85628-0017.wav                      | 2.15       | 0.1814     | 0.0842    
7021-85628-0016.wav                      | 4.28       | 0.3913     | 0.0914    
7021-85628-0024.wav                      | 2.17       | 0.1808     | 0.0835    
7021-85628-0022.wav                      | 5.14       | 0.4626     | 0.0899    
7021-85628-0005.wav                      | 5.01       | 0.4528     | 0.0903    
7021-85628-0009.wav                      | 8.54       | 0.7921     | 0.0928    
7021-85628-0004.wav                      | 2.81       | 0.2380     | 0.0848    
7021-85628-0027.wav                      | 8.50       | 0.8115     | 0.0955    
